"Date","ZMLP.Open","ZMLP.High","ZMLP.Low","ZMLP.Close","ZMLP.Volume","ZMLP.Adjusted"
2015-06-19,34.516,34.768,34.356,30.02,58500,26.231503
2015-06-22,34.344,34.63,34.344,30.25,18200,26.432478
2015-06-23,33.532,33.944,33.474,29.58,35000,25.847031
2015-06-24,33.989,33.989,33.589,29.440001,68700,25.724697
2015-06-25,33.864,33.886,33.36,29.17,16100,25.48877
2015-06-26,33.303,33.406,33.097,29.030001,22700,25.36644
2015-06-29,32.902,32.948,32.433,28.34,60500,24.763517
2015-06-30,32.845,32.845,32.135,28.190001,38300,24.63245
2015-07-01,32.502,32.502,31.884,28.059999,67800,24.518852
2015-07-02,32.216,32.353,31.975,28,35900,24.466425
2015-07-06,31.746,32.09,31.723,27.76,27700,24.256714
2015-07-07,31.769,32.158,31.186,28.08,20800,24.536329
2015-07-08,32.044,32.067,31.414,27.549999,26800,24.073214
2015-07-09,31.701,31.941,31.678,27.77,22300,24.265451
2015-07-10,32.021,32.124,31.826,28.049999,16900,24.510115
2015-07-13,32.33,32.433,32.113,28.219999,13800,24.658659
2015-07-14,32.147,32.547,32.147,28.33,20600,24.754782
2015-07-15,32.296,32.41,32.021,27.99,12800,24.457687
2015-07-16,32.158,32.158,31.758,27.799999,30400,24.291664
2015-07-17,31.975,31.975,31.186,27.48,19300,24.012047
2015-07-20,31.357,31.357,30.636,26.77,89200,23.391649
2015-07-21,30.613,31.22,30.613,26.889999,21100,23.496504
2015-07-22,30.922,30.922,30.018,26.32,14900,22.99844
2015-07-23,30.121,30.304,29.778,26.09,22900,22.797466
2015-07-24,29.675,30.018,29.675,26.17,49500,22.867367
2015-07-27,30.247,30.247,29.561,26.209999,15300,22.902321
2015-07-28,29.984,30.888,29.984,26.85,38400,23.461554
2015-07-29,30.899,31.414,30.613,27.389999,81800,23.933405
2015-07-30,31.346,31.346,30.911,27.17,11900,23.741171
2015-07-31,31.094,31.094,30.579,26.76,35700,23.382914
2015-08-03,30.625,30.625,29.732,26.01,201100,22.727562
2015-08-04,29.755,29.812,28.382,25.66,53700,22.421732
2015-08-05,29.744,29.847,28.462,24.870001,26600,21.731426
2015-08-06,28.611,29.469,27.729,24.870001,96200,21.731426
2015-08-07,28.302,28.759,28.164,24.620001,64200,21.51298
2015-08-10,28.267,29.332,28.267,25.629999,42100,22.395514
2015-08-11,29.377,29.4,28.691,25.540001,18400,22.316875
2015-08-12,29.091,29.892,29.091,26.120001,21600,22.823681
2015-08-13,30.098,30.098,29.171,25.59,29800,22.360565
2015-08-14,29.297,29.652,29.297,25.879999,12000,22.613968
2015-08-17,29.538,29.938,29.412,26.02,37500,22.736298
2015-08-18,29.892,29.892,29.274,25.65,21000,22.412992
2015-08-19,29.412,29.412,28.347,24.93,24000,21.783857
2015-08-20,28.611,28.611,28.325,24.799999,7600,21.670261
2015-08-21,27.832,28.027,27.02,23.610001,50500,20.63044
2015-08-24,26.001,27.1,23.999,22.879999,59300,19.992563
2015-08-25,27.306,27.398,26.837,23.51,35200,20.54306
2015-08-26,27.008,27.317,26.814,23.870001,15700,20.85763
2015-08-27,29.068,29.068,27.867,24.85,25800,21.713951
2015-08-28,28.382,29.309,28.382,25.469999,213500,22.255709
2015-08-31,29.114,29.355,28.382,25.530001,26100,22.308138
2015-09-01,29.183,29.183,28.45,24.9,17200,21.757641
2015-09-02,29.046,29.046,28.096,24.870001,46300,21.731426
2015-09-03,29.057,29.057,28.542,25,16100,21.845022
2015-09-04,28.473,28.576,28.199,24.77,23000,21.644049
2015-09-08,28.325,28.576,28.233,24.67,14700,21.556667
2015-09-09,28.656,28.656,27.901,24.379999,18100,21.303263
2015-09-10,27.924,27.924,27.638,24.35,20700,21.277052
2015-09-11,27.569,27.569,27.123,23.82,34100,20.813936
2015-09-14,27.352,27.398,27.123,23.780001,29000,20.778988
2015-09-15,27.42,27.42,27.192,23.799999,13200,20.796459
2015-09-16,27.615,27.775,27.478,24.27,8500,21.20715
2015-09-17,27.935,28.599,27.752,24.469999,7300,21.381907
2015-09-18,27.752,28.508,27.569,24.23,17500,21.172194
2015-09-21,29.412,29.412,27.718,24.370001,80900,21.294529
2015-09-22,27.661,27.867,26.745,23.440001,117900,20.481894
2015-09-23,26.963,26.974,26.15,22.860001,56000,19.975088
2015-09-24,26.024,26.333,25.441,22.58,35200,19.730425
2015-09-25,25.875,26.23,25.612,22.48,31900,19.643045
2015-09-28,25.612,25.692,24.285,21.280001,70000,18.594484
2015-09-29,24.445,24.628,23.106,20.27,106500,17.711945
2015-09-30,24.102,24.594,23.438,21.440001,369600,18.734293
2015-10-01,24.662,25.154,24.605,21.76,85700,19.013908
2015-10-02,24.731,25.75,24.731,22.43,8600,19.599356
