"Date","JNK.Open","JNK.High","JNK.Low","JNK.Close","JNK.Volume","JNK.Adjusted"
2016-06-23,37.829,38.032,37.829,35.630001,7729600,33.398724
2016-06-24,37.2,37.701,37.2,35.099998,19867600,32.901917
2016-06-27,37.285,37.317,36.773,34.490002,39085800,32.330116
2016-06-28,37.21,37.306,37.114,34.959999,21854200,32.770683
2016-06-29,37.562,37.808,37.52,35.389999,19838000,33.173752
2016-06-30,37.786,38.096,37.712,35.689999,22150500,33.454967
2016-07-01,37.652,37.811,37.599,35.529999,11158300,33.480415
2016-07-05,37.652,37.652,37.419,35.360001,10048700,33.320217
2016-07-06,37.429,37.726,37.387,35.529999,15182200,33.480415
2016-07-07,37.705,37.854,37.631,35.59,16148100,33.536942
2016-07-08,37.939,38.299,37.885,36.07,28121100,33.989258
2016-07-11,38.331,38.437,38.321,36.139999,15981300,34.055229
2016-07-12,38.522,38.628,38.448,36.23,16375300,34.140026
2016-07-13,38.437,38.48,38.257,36.139999,14196300,34.055229
2016-07-14,38.437,38.469,38.331,36.169998,11382900,34.083496
2016-07-15,38.469,38.469,38.31,36.110001,6493300,34.026955
2016-07-18,38.384,38.501,38.352,36.259998,5659600,34.168297
2016-07-19,38.427,38.49,38.31,36.150002,12356100,34.064648
2016-07-20,38.448,38.512,38.342,36.240002,7512200,34.149456
2016-07-21,38.459,38.543,38.405,36.23,5341700,34.140026
2016-07-22,38.469,38.618,38.405,36.360001,5019400,34.262535
2016-07-25,38.565,38.565,38.363,36.16,5847800,34.074074
2016-07-26,38.395,38.405,38.246,36.060001,10185900,33.979843
2016-07-27,38.342,38.395,38.225,36.16,11506100,34.074074
2016-07-28,38.278,38.31,38.183,35.990002,7355300,33.913883
2016-07-29,38.183,38.278,38.098,36.060001,12187300,33.979843
2016-08-01,37.825,37.825,37.624,35.650002,10590200,33.769909
2016-08-02,37.698,37.719,37.571,35.610001,25805300,33.732021
2016-08-03,37.614,37.761,37.614,35.73,17649900,33.845695
2016-08-04,37.719,38.004,37.719,35.970001,11033400,34.073036
2016-08-05,38.068,38.194,38.046,36.040001,11034400,34.139343
2016-08-08,38.163,38.279,38.11,36.240002,14830900,34.3288
2016-08-09,38.321,38.405,38.279,36.360001,8188600,34.442467
2016-08-10,38.416,38.427,38.321,36.349998,5910600,34.432995
2016-08-11,38.363,38.458,38.353,36.41,5903900,34.489838
2016-08-12,38.363,38.479,38.353,36.450001,5441000,34.527725
2016-08-15,38.511,38.595,38.479,36.549999,5257400,34.622448
2016-08-16,38.574,38.574,38.458,36.439999,11866100,34.51825
2016-08-17,38.511,38.564,38.437,36.5,4863000,34.575085
2016-08-18,38.532,38.701,38.532,36.639999,5012300,34.707703
2016-08-19,38.617,38.659,38.553,36.540001,4674400,34.61298
2016-08-22,38.511,38.574,38.479,36.459999,4410800,34.537201
2016-08-23,38.617,38.69,38.564,36.619999,5095300,34.688751
2016-08-24,38.659,38.669,38.522,36.509998,4199000,34.584553
2016-08-25,38.595,38.648,38.543,36.529999,5578600,34.603497
2016-08-26,38.617,38.743,38.511,36.540001,4877400,34.61298
2016-08-29,38.648,38.817,38.638,36.73,7695100,34.792957
2016-08-30,38.796,38.807,38.68,36.720001,4717900,34.783485
2016-08-31,38.743,38.764,38.553,36.540001,18963900,34.61298
2016-09-01,38.262,38.294,38.115,36.439999,9311100,34.695057
2016-09-02,38.357,38.514,38.325,36.639999,9626800,34.885483
2016-09-06,38.483,38.546,38.43,36.68,9199500,34.923561
2016-09-07,38.535,38.535,38.388,36.610001,5053300,34.856926
2016-09-08,38.441,38.441,38.325,36.529999,6452500,34.780743
2016-09-09,38.241,38.241,37.958,36.150002,11736700,34.418941
2016-09-12,37.916,38.189,37.863,36.27,16414200,34.533203
2016-09-13,38.042,38.063,37.779,36.009998,19551700,34.285641
2016-09-14,37.863,37.979,37.758,35.98,18240100,34.257084
2016-09-15,37.811,38.042,37.811,36.169998,10254800,34.437988
2016-09-16,37.968,37.989,37.874,36.139999,8728600,34.409428
2016-09-19,37.968,38.073,37.947,36.18,9414000,34.447514
2016-09-20,38.073,38.105,37.916,36.16,10154900,34.428463
2016-09-21,38.021,38.315,37.968,36.450001,16858100,34.704582
2016-09-22,38.441,38.514,38.315,36.59,12251700,34.837875
2016-09-23,38.42,38.472,38.336,36.509998,18093200,34.761703
2016-09-26,38.252,38.346,38.168,36.349998,6918400,34.609371
2016-09-27,38.189,38.325,38.105,36.490002,7174000,34.742664
2016-09-28,38.367,38.588,38.262,36.73,12382900,34.971169
2016-09-29,38.577,38.577,38.304,36.560001,14041500,34.809311
2016-09-30,38.462,38.588,38.451,36.720001,10627000,34.961658
