"Date","TFI.Open","TFI.High","TFI.Low","TFI.Close","TFI.Volume","TFI.Adjusted"
2016-07-26,51.284,51.335,51.264,50.279999,257000,49.29541
2016-07-27,51.335,51.407,51.305,50.34,233600,49.354225
2016-07-28,51.356,51.458,51.356,50.450001,428200,49.462078
2016-07-29,51.56,51.56,51.458,50.5,177600,49.511101
2016-08-01,51.279,51.34,51.218,50.310001,158100,49.407982
2016-08-02,51.218,51.279,51.147,50.259998,354100,49.358871
2016-08-03,51.208,51.249,51.137,50.25,287800,49.349052
2016-08-04,51.249,51.279,51.228,50.310001,254400,49.407982
2016-08-05,51.239,51.279,51.127,50.220001,154100,49.319595
2016-08-08,51.167,51.208,51.147,50.290001,211300,49.388336
2016-08-09,51.178,51.239,51.167,50.310001,338100,49.407982
2016-08-10,51.228,51.29,51.198,50.330002,415500,49.427616
2016-08-11,51.249,51.269,51.167,50.25,273700,49.349052
2016-08-12,51.259,51.412,51.259,50.400002,524500,49.496368
2016-08-15,51.34,51.34,51.259,50.349998,86700,49.447262
2016-08-16,51.371,51.381,51.29,50.400002,114800,49.496368
2016-08-17,51.32,51.371,51.269,50.450001,92700,49.545467
2016-08-18,51.371,51.453,51.371,50.490002,232400,49.584751
2016-08-19,51.371,51.412,51.32,50.41,131800,49.506191
2016-08-22,51.412,51.473,51.361,50.5,274600,49.594574
2016-08-23,51.402,51.473,51.402,50.5,124000,49.594574
2016-08-24,51.442,51.473,51.351,50.48,94000,49.574928
2016-08-25,51.422,51.432,51.351,50.459999,111700,49.555286
2016-08-26,51.422,51.493,51.32,50.419998,169000,49.515999
2016-08-29,51.463,51.514,51.432,50.59,100600,49.682957
2016-08-30,51.463,51.463,51.412,50.5,166700,49.594574
2016-08-31,51.422,51.473,51.402,50.52,271500,49.614208
2016-09-01,51.34,51.412,51.29,50.400002,191000,49.496368
2016-09-02,51.33,51.34,51.259,50.380001,185100,49.476727
2016-09-06,51.32,51.371,51.259,50.419998,195800,49.515999
2016-09-07,51.361,51.412,51.259,50.34,166600,49.43745
2016-09-08,51.279,51.31,51.178,50.310001,99400,49.407982
2016-09-09,51.178,51.198,51.106,50.200001,294200,49.299953
2016-09-12,51.106,51.167,51.076,50.16,571300,49.26067
2016-09-13,51.116,51.116,50.933,50.040001,434100,49.142822
2016-09-14,50.923,51.015,50.923,50.040001,135900,49.142822
2016-09-15,50.923,50.974,50.882,49.990002,124100,49.093719
2016-09-16,50.933,50.943,50.882,49.98,77700,49.083893
2016-09-19,50.933,50.943,50.882,50,87100,49.103539
2016-09-20,50.913,50.954,50.882,49.970001,119400,49.074074
2016-09-21,50.913,50.964,50.831,50,150100,49.103539
2016-09-22,50.933,50.994,50.933,50.040001,119300,49.142822
2016-09-23,50.984,51.055,50.943,50.049999,104300,49.152641
2016-09-26,51.004,51.096,51.004,50.130001,187200,49.231205
2016-09-27,51.055,51.127,51.035,50.18,107400,49.280312
2016-09-28,51.106,51.147,51.055,50.139999,145000,49.241028
2016-09-29,51.066,51.127,51.004,50.169998,220100,49.270485
2016-09-30,51.076,51.116,50.974,50.080002,391900,49.182106
2016-10-03,50.804,50.885,50.804,49.98,158500,49.169312
2016-10-04,50.814,50.865,50.723,49.900002,292200,49.090618
