"Date","SCHP.Open","SCHP.High","SCHP.Low","SCHP.Close","SCHP.Volume","SCHP.Adjusted"
2014-04-07,55.838,55.931,55.828,54.02,39200,52.251347
2014-04-08,55.869,55.9,55.776,54.040001,23000,52.270691
2014-04-09,55.807,55.983,55.786,54.09,16100,52.319054
2014-04-10,56.024,56.241,55.993,54.299999,39100,52.522182
2014-04-11,56.283,56.303,56.179,54.439999,29900,52.657593
2014-04-14,56.252,56.252,56.159,54.360001,38300,52.580219
2014-04-15,56.21,56.355,56.2,54.459999,30200,52.676945
2014-04-16,56.252,56.396,56.21,54.490002,23000,52.705967
2014-04-17,56.324,56.386,56.2,54.459999,39800,52.676945
2014-04-21,56.355,56.438,56.262,54.459999,30800,52.676945
2014-04-22,56.231,56.314,56.179,54.459999,30700,52.676945
2014-04-23,56.376,56.49,56.376,54.610001,26100,52.822029
2014-04-24,56.438,56.51,56.407,54.630001,26500,52.841377
2014-04-25,56.562,56.645,56.479,54.66,28800,52.870392
2014-04-28,56.51,56.51,56.324,54.5,34500,52.71563
2014-04-29,56.262,56.334,56.21,54.490002,30800,52.705967
2014-04-30,56.334,56.541,56.283,54.68,34500,52.889736
2014-05-01,56.361,56.619,56.361,54.790001,82900,53.087399
2014-05-02,56.454,56.712,56.382,54.889999,18000,53.184288
2014-05-05,56.733,56.733,56.506,54.799999,25400,53.097088
2014-05-06,56.568,56.578,56.496,54.75,29800,53.048649
2014-05-07,56.547,56.64,56.475,54.849998,17600,53.145535
2014-05-08,56.609,56.712,56.527,54.869999,37400,53.164909
2014-05-09,56.578,56.63,56.558,54.82,20000,53.116467
2014-05-12,56.568,56.568,56.413,54.689999,28900,52.990505
2014-05-13,56.558,56.588,56.485,54.799999,312900,53.097088
2014-05-14,56.764,56.981,56.764,55.169998,33200,53.455589
2014-05-15,57.074,57.29,57.074,55.419998,27800,53.697823
2014-05-16,57.197,57.249,57.084,55.330002,27900,53.610619
2014-05-19,57.249,57.249,56.929,55.169998,35600,53.455589
2014-05-20,56.95,57.115,56.95,55.290001,30100,53.571865
2014-05-21,57.032,57.053,56.95,55.259998,24900,53.542786
2014-05-22,57.012,57.146,56.929,55.349998,29900,53.630005
2014-05-23,57.239,57.332,57.166,55.400002,38200,53.678448
2014-05-27,57.29,57.301,57.156,55.509998,39600,53.785023
2014-05-28,57.424,57.631,57.424,55.790001,47500,54.056324
2014-05-29,57.621,57.837,57.59,55.799999,35600,54.066013
2014-05-30,57.538,57.538,57.424,55.639999,24100,53.910992
2014-06-02,57.072,57.123,56.835,55.23,126300,53.669987
2014-06-03,56.691,56.774,56.527,54.970001,55600,53.417332
2014-06-04,56.537,56.599,56.383,54.84,20400,53.291004
2014-06-05,56.455,56.63,56.434,54.93,34200,53.378468
2014-06-06,56.681,56.722,56.496,54.93,15400,53.378468
2014-06-09,56.516,56.588,56.475,54.959999,50700,53.407616
2014-06-10,56.485,56.506,56.413,54.869999,68700,53.32016
2014-06-11,56.475,56.568,56.465,54.919998,28100,53.368748
2014-06-12,56.578,56.743,56.506,55.080002,29700,53.524223
2014-06-13,56.455,56.64,56.444,55,58100,53.446487
2014-06-16,56.609,56.702,56.578,55.07,61500,53.514511
2014-06-17,56.702,56.702,56.558,54.98,41300,53.427055
2014-06-18,56.64,57.134,56.63,55.23,53100,53.669987
2014-06-19,57,57.082,56.722,55.18,67100,53.621403
2014-06-20,56.774,56.959,56.774,55.349998,22100,53.786602
2014-06-23,57.051,57.051,56.907,55.32,34800,53.757442
2014-06-24,57.062,57.185,56.99,55.57,44100,54.000389
2014-06-25,57.288,57.298,57.185,55.59,83500,54.019821
2014-06-26,57.257,57.381,57.257,55.709999,42700,54.136433
2014-06-27,57.381,57.422,57.298,55.700001,47800,54.12672
2014-06-30,57.37,57.381,57.278,55.700001,23600,54.12672
2014-07-01,56.895,56.926,56.772,55.32,85600,53.905521
2014-07-02,56.69,56.69,56.525,55.080002,55300,53.671654
2014-07-03,56.443,56.536,56.392,55.060001,62700,53.652164
2014-07-07,56.648,56.71,56.628,55.220001,60600,53.808079
2014-07-08,56.761,56.905,56.761,55.419998,45600,54.00296
2014-07-09,56.854,57.028,56.802,55.529999,45800,54.110146
2014-07-10,57.182,57.182,57.049,55.630001,39000,54.207596
2014-07-11,57.141,57.203,57.141,55.689999,38700,54.26606
2014-07-14,57.11,57.131,57.018,55.610001,60500,54.188103
2014-07-15,57.018,57.09,56.905,55.459999,38800,54.041939
2014-07-16,56.905,56.946,56.854,55.470001,25200,54.051689
2014-07-17,57.079,57.295,57.059,55.779999,35100,54.353756
2014-07-18,57.213,57.213,57.079,55.689999,31900,54.26606
2014-07-21,57.244,57.315,57.213,55.790001,158600,54.363506
2014-07-22,57.233,57.233,57.121,55.75,34700,54.32452
2014-07-23,57.264,57.274,57.192,55.740002,40800,54.314785
2014-07-24,57.069,57.131,57.018,55.639999,35100,54.217335
2014-07-25,57.274,57.357,57.233,55.84,35900,54.412231
2014-07-28,57.264,57.346,57.192,55.82,40400,54.392735
2014-07-29,57.377,57.398,57.244,55.900002,31900,54.470692
2014-07-30,57.213,57.213,56.967,55.529999,65700,54.110146
2014-07-31,56.864,57.079,56.823,55.509998,80300,54.09066
