"Date","VNQI.Open","VNQI.High","VNQI.Low","VNQI.Close","VNQI.Volume","VNQI.Adjusted"
2015-02-27,62.131,62.174,61.881,56.959999,334500,52.43063
2015-03-02,62.163,62.196,62,57.25,301600,52.697578
2015-03-03,62.109,62.131,61.805,57.009998,296300,52.476658
2015-03-04,61.576,61.653,61.033,56.439999,289700,51.951984
2015-03-05,61.348,61.348,60.99,56.23,243900,51.758682
2015-03-06,60.773,60.773,60.066,55.34,441000,50.939457
2015-03-09,59.708,59.708,59.469,54.880001,429000,50.516037
2015-03-10,59.099,59.154,58.556,53.98,480700,49.687599
2015-03-11,58.98,59.002,58.741,54.16,426700,49.853291
2015-03-12,59.458,59.599,59.306,54.790001,241700,50.433193
2015-03-13,59.48,59.512,59.11,54.709999,792800,50.35955
2015-03-16,59.806,59.969,59.719,55.099998,577000,50.718544
2015-03-17,59.534,59.578,59.262,54.73,654600,50.37796
2015-03-18,59.491,60.664,59.306,55.73,1018600,51.298443
2015-03-19,60.544,60.544,60.197,55.560001,373600,51.141964
2015-03-20,61.066,61.424,60.773,56.439999,395700,51.951984
2015-03-23,61.555,61.62,61.207,56.619999,367200,52.117668
2015-03-24,61.902,61.989,61.761,56.93,346700,52.403011
2015-03-25,62.163,62.206,61.511,56.68,744200,52.191235
