"Date","VSS.Open","VSS.High","VSS.Low","VSS.Close","VSS.Volume","VSS.Adjusted"
2013-10-18,114.485,115.317,114.03,103.160004,54900,92.937523
2013-10-21,114.851,115.14,114.596,103.410004,45700,93.162773
2013-10-22,115.495,115.983,115.473,104.300003,53000,93.964569
2013-10-23,114.94,115.373,114.407,103.260002,55200,93.027618
2013-10-24,115.439,115.439,114.862,103.809998,51300,93.523109
2013-10-25,114.951,115.04,114.729,103.639999,41100,93.36998
2013-10-28,114.651,114.873,114.407,103.139999,185900,92.919518
2013-10-29,114.884,115.017,114.507,103.43,20000,93.180763
2013-10-30,115.162,115.162,114.041,103.190002,24800,92.964569
2013-10-31,114.54,114.784,113.919,102.889999,44300,92.694305
2013-11-01,113.907,114.296,113.23,102.440002,68400,92.288879
2013-11-04,114.052,114.207,113.552,102.889999,49700,92.694305
2013-11-05,113.275,113.397,112.62,101.489998,287100,91.433014
2013-11-06,113.43,113.763,112.875,101.959999,366800,91.856445
2013-11-07,112.931,112.931,111.31,100.480003,287500,90.523102
2013-11-08,111.354,112.02,111.01,100.849998,26600,90.856438
2013-11-11,111.832,111.998,111.31,100.699997,27800,90.721291
2013-11-12,111.554,111.588,110.888,100.059998,34300,90.144707
2013-11-13,110.4,111.465,110.222,100.419998,43000,90.469048
2013-11-14,111.798,112.387,111.41,101.169998,88500,91.14473
2013-11-15,112.964,113.164,112.575,101.730003,44600,91.649239
2013-11-18,113.719,113.719,112.598,101.519997,96500,91.46003
2013-11-19,112.42,112.997,112.387,101.400002,23500,91.351929
2013-11-20,112.587,112.853,111.665,100.800003,33000,90.811417
2013-11-21,111.654,112.098,111.599,100.860001,34800,90.86544
2013-11-22,112.342,112.509,111.876,100.910004,254200,90.910492
2013-11-25,112.087,112.509,111.854,100.900002,33500,90.901466
2013-11-26,111.998,112.753,111.998,101.43,45700,91.37896
2013-11-27,113.219,113.297,112.775,102.010002,23400,91.901482
2013-11-29,113.275,113.752,113.275,102.360001,18200,92.216805
2013-12-02,113.497,113.674,112.642,101.93,199900,91.829422
2013-12-03,112.509,113.619,111.787,101.120003,23200,91.099686
2013-12-04,111.521,112.176,111.221,100.970001,29500,90.964561
2013-12-05,112.032,112.276,111.71,100.830002,29200,90.838417
2013-12-06,112.453,113.408,112.453,102.089996,35100,91.973557
2013-12-09,112.942,113.419,112.886,102.089996,83600,91.973557
2013-12-10,113.475,113.497,112.897,102.18,25300,92.054634
2013-12-11,113.253,113.441,112.065,101.139999,54700,91.117706
2013-12-12,112.054,112.054,111.01,100.57,37900,90.604179
2013-12-13,111.687,111.998,111.421,100.879997,29200,90.883469
2013-12-16,112.376,112.664,112.054,101.290001,51000,91.252815
2013-12-17,111.876,112.276,111.565,100.919998,68800,90.919495
2013-12-18,112.453,113.685,111.699,102.029999,49200,91.91951
2013-12-19,112.409,112.653,111.876,101.099998,150100,91.081673
2013-12-20,109.031,109.479,108.419,99.650002,211800,91.204308
2013-12-23,109.763,109.938,108.943,100,277000,91.524635
2013-12-24,109.238,110.112,108.987,100.779999,31000,92.238533
2013-12-26,110.375,110.484,110.08,101.010002,56100,92.449028
2013-12-27,111.063,111.194,110.429,101.300003,89700,92.71447
2013-12-30,111.434,111.959,110.899,102.400002,68000,93.721237
2013-12-31,111.882,112.571,111.686,102.940002,57300,94.215477
2014-01-02,111.686,111.74,110.692,101.339996,113300,92.75106
2014-01-03,111.402,111.981,111.282,102.160004,55700,93.501572
2014-01-06,112.166,112.166,111.686,102.370003,188800,93.693794
2014-01-07,112.188,112.232,111.992,102.660004,39700,93.959198
2014-01-08,112.221,112.418,111.992,102.639999,44700,93.940903
2014-01-09,112.407,112.407,111.445,102.440002,197200,93.757851
2014-01-10,112.56,113.598,110.757,103.82,93000,95.020866
2014-01-13,113.401,113.401,112.451,103.139999,64900,94.398514
2014-01-14,113.161,113.521,112.844,103.870003,43900,95.06665
2014-01-15,113.412,113.674,113.194,103.959999,57600,95.149033
2014-01-16,113.183,113.576,112.866,103.730003,69200,94.938507
2014-01-17,113.368,113.499,113.03,103.550003,44000,94.773766
2014-01-21,113.674,113.674,113.084,103.970001,72000,95.158188
2014-01-22,113.838,113.838,113.39,104.089996,75700,95.267998
2014-01-23,113.215,113.51,112.276,103.199997,84200,94.453423
2014-01-24,112.014,112.014,110.899,101.5,82100,92.897499
2014-01-27,110.517,111.172,108.452,100.07,68000,91.588715
2014-01-28,109.894,110.648,109.894,101.220001,61000,92.641251
2014-01-29,109.73,110.145,109.315,100.129997,45100,91.643623
2014-01-30,110.08,110.517,109.457,101.129997,75000,92.558861
2014-01-31,109.031,109.949,108.714,100.269997,61200,91.771751
2014-02-03,109.107,109.195,107.523,98.519997,83900,90.170074
2014-02-04,107.873,108.823,107.873,99.419998,104900,90.993797
2014-02-05,108.692,109.064,107.938,99.599998,68800,91.158546
2014-02-06,109.654,110.888,109.654,101.400002,91400,92.805984
2014-02-07,111.686,112.472,111.063,102.879997,140000,94.160561
2014-02-10,112.374,112.527,111.751,102.639999,167600,93.940903
2014-02-11,112.462,113.838,112.156,103.650002,47600,94.865288
2014-02-12,113.827,113.947,113.347,103.989998,46800,95.176476
2014-02-13,113.041,114.45,113.041,104.559998,25900,95.698174
2014-02-14,114.439,115.226,114.439,105.190002,175800,96.274765
2014-02-18,115.477,115.805,115.269,105.690002,62600,96.732399
2014-02-19,115.477,115.739,114.636,105.080002,67600,96.174088
2014-02-20,114.548,115.575,114.548,105.709999,47700,96.750694
2014-02-21,115.728,116.133,115.433,105.970001,73500,96.988655
2014-02-24,116.231,116.963,116.144,106.669998,47800,97.629333
2014-02-25,116.712,116.985,115.936,106.290001,46300,97.281555
2014-02-26,116.144,116.198,115.554,106.019997,42800,97.034424
2014-02-27,115.499,116.624,115.499,106.639999,39200,97.601883
2014-02-28,117.105,117.826,116.908,107.459999,49100,98.352386
2014-03-03,115.925,116.253,115.291,105.82,109200,96.851372
2014-03-04,117.466,118.11,117.324,107.620003,43600,98.498817
2014-03-05,117.64,117.772,117.4,107.769997,41000,98.636093
2014-03-06,118.613,119.268,118.613,108.860001,45800,99.633736
2014-03-07,118.766,118.875,117.881,108.339996,60300,99.157799
2014-03-10,117.914,117.925,117.16,107.790001,53400,98.654419
2014-03-11,117.75,117.914,116.919,107.230003,54700,98.141884
2014-03-12,116.384,116.755,116.165,106.760002,66700,97.711708
2014-03-13,117.16,117.651,115.084,105.519997,58100,96.576782
2014-03-14,115.051,115.619,114.974,105.540001,42300,96.595116
2014-03-17,116.373,116.854,116.351,106.669998,64800,97.629333
2014-03-18,116.723,117.477,116.723,107.379997,27000,98.279152
2014-03-19,117.313,117.455,115.313,106,90900,97.016113
2014-03-20,114.822,115.237,114.319,105.230003,237400,96.311378
2014-03-21,115.095,115.259,113.937,104.370003,99900,95.524277
2014-03-24,114.614,114.658,113.27,104.300003,57400,95.460213
2014-03-25,114.253,115.269,114.133,105.239998,37700,96.320541
2014-03-26,115.564,115.717,114.723,105.040001,50000,96.137497
2014-03-27,115.248,115.685,114.789,105.760002,54200,96.796455
2014-03-28,116.067,116.45,116.023,106.309998,44500,97.299843
2014-03-31,116.843,117.127,116.504,106.860001,77200,97.80323
2014-04-01,117.608,117.903,117.291,107.849998,90200,98.709312
2014-04-02,117.946,118.547,117.892,108.239998,129200,99.066269
2014-04-03,118.187,118.187,117.378,107.980003,38800,98.828293
2014-04-04,118.766,118.831,117.597,107.860001,29400,98.718468
2014-04-07,117.783,117.903,116.996,107.330002,54600,98.233391
2014-04-08,116.908,117.335,116.635,107.230003,32800,98.141884
