"Date","STIP.Open","STIP.High","STIP.Low","STIP.Close","STIP.Volume","STIP.Adjusted"
2017-03-28,101.777,101.827,101.666,101.260002,145400,100.815422
2017-03-29,101.787,101.877,101.757,101.389999,77700,100.944855
2017-03-30,101.777,101.867,101.747,101.330002,57500,100.885117
2017-03-31,101.857,101.928,101.817,101.449997,63600,101.004578
2017-04-03,101.76,101.83,101.73,101.449997,74500,101.10125
2017-04-04,101.79,101.8,101.71,101.389999,45000,101.041458
2017-04-05,101.76,101.85,101.72,101.489998,261300,101.141106
2017-04-06,101.82,101.82,101.73,101.43,33900,101.081314
2017-04-07,101.78,101.83,101.619,101.290001,60500,100.941795
2017-04-10,101.71,101.75,101.629,101.290001,32300,100.941795
2017-04-11,101.71,101.77,101.68,101.379997,35800,101.031487
2017-04-12,101.78,101.87,101.73,101.5,31000,101.151077
2017-04-13,101.93,101.93,101.85,101.550003,32800,101.200905
2017-04-17,101.76,101.81,101.629,101.339996,65000,100.991631
2017-04-18,101.73,101.73,101.629,101.360001,37200,101.011559
2017-04-19,101.71,101.72,101.609,101.269997,42000,100.921867
2017-04-20,101.599,101.68,101.569,101.269997,28900,100.921867
2017-04-21,101.7,101.7,101.579,101.290001,38900,100.941795
2017-04-24,101.599,101.629,101.569,101.279999,54500,100.931839
2017-04-25,101.569,101.629,101.549,101.260002,110700,100.911903
2017-04-26,101.609,101.67,101.559,101.269997,45500,100.921867
2017-04-27,101.579,101.669,101.559,101.220001,29800,100.872047
2017-04-28,101.559,101.649,101.549,101.269997,33200,100.921867
2017-05-01,101.207,101.257,101.127,100.989998,47000,100.823029
2017-05-02,101.207,101.207,101.097,100.959999,84400,100.793083
2017-05-03,101.097,101.107,100.977,100.849998,57000,100.683258
2017-05-04,100.867,100.887,100.777,100.669998,46000,100.503555
2017-05-05,100.917,100.917,100.797,100.730003,68300,100.563461
2017-05-08,100.817,100.877,100.777,100.669998,64700,100.503555
2017-05-09,100.777,100.827,100.696,100.589996,45800,100.423691
2017-05-10,100.827,101.027,100.767,100.660004,32700,100.493584
2017-05-11,100.877,101.027,100.877,100.809998,62800,100.643326
2017-05-12,100.957,101.007,100.917,100.809998,27100,100.643326
2017-05-15,101.037,101.037,100.937,100.779999,58900,100.61338
2017-05-16,100.917,100.977,100.857,100.779999,53200,100.61338
2017-05-17,101.027,101.147,101.027,100.93,140200,100.76313
2017-05-18,101.077,101.127,101.007,100.900002,24400,100.733185
2017-05-19,101.077,101.167,101.037,101,16700,100.833015
2017-05-22,101.207,101.207,101.077,100.949997,28800,100.783096
2017-05-23,101.137,101.177,101.047,100.919998,30200,100.753143
2017-05-24,101.087,101.137,101.007,100.970001,22300,100.803062
2017-05-25,101.117,101.157,101.017,100.910004,25300,100.743164
2017-05-26,101.097,101.187,101.097,100.970001,31500,100.803062
2017-05-30,101.167,101.277,101.137,101.029999,33300,100.862961
2017-05-31,101.157,101.227,101.117,101.010002,27500,100.843002
2017-06-01,100.76,100.87,100.76,100.860001,19000,100.860001
2017-06-02,100.93,100.98,100.88,100.919998,49300,100.919998
2017-06-05,100.9,100.92,100.84,100.839996,51900,100.839996
2017-06-06,100.97,100.99,100.89,100.900002,59700,100.900002
2017-06-07,100.85,100.89,100.76,100.800003,210800,100.800003
2017-06-08,100.77,100.8,100.67,100.779999,42500,100.779999
2017-06-09,100.72,100.78,100.7,100.739998,35400,100.739998
2017-06-12,100.72,100.72,100.67,100.669998,34100,100.669998
2017-06-13,100.58,100.67,100.58,100.669998,38300,100.669998
2017-06-14,100.61,100.62,100.35,100.379997,39500,100.379997
2017-06-15,100.25,100.27,100.22,100.25,37200,100.25
2017-06-16,100.32,100.36,100.3,100.360001,30400,100.360001
2017-06-19,100.32,100.36,100.23,100.239998,31400,100.239998
2017-06-20,100.2,100.26,100.14,100.230003,26300,100.230003
2017-06-21,100.21,100.24,100.21,100.220001,34300,100.220001
2017-06-22,100.25,100.4,100.23,100.379997,36400,100.379997
2017-06-23,100.45,100.46,100.4,100.43,31000,100.43
2017-06-26,100.5,100.5,100.4,100.5,44800,100.5
2017-06-27,100.45,100.5,100.39,100.440002,32300,100.440002
2017-06-28,100.53,100.6,100.46,100.580002,45500,100.580002
2017-06-29,100.49,100.49,100.39,100.459999,61800,100.459999
2017-06-30,NA,NA,NA,NA,NA,NA
2017-07-03,100.23,100.26,100.16,100.199997,50400,100.199997
2017-07-07,100.07,100.13,100.007,100.059998,36976,100.059998
