"Date","VMBS.Open","VMBS.High","VMBS.Low","VMBS.Close","VMBS.Volume","VMBS.Adjusted"
2013-10-25,55.864,55.95,55.864,51.830002,21400,48.050121
2013-10-28,55.853,56.015,55.853,51.91,294200,48.124294
2013-10-29,55.907,55.994,55.864,51.889999,56600,48.105736
2013-10-30,56.004,56.069,55.896,51.849998,118100,48.068653
2013-10-31,55.721,55.829,55.624,51.720001,134300,48.015747
2013-11-01,55.624,55.688,55.538,51.630001,24500,47.932194
2013-11-04,55.732,55.732,55.656,51.720001,30500,48.015747
2013-11-05,55.688,55.699,55.581,51.599998,245200,47.904339
2013-11-06,55.656,55.656,55.592,51.650002,114000,47.950756
2013-11-07,55.656,55.732,55.656,51.709999,84500,48.006458
2013-11-08,55.344,55.452,55.344,51.400002,100800,47.718674
2013-11-11,55.333,55.376,55.247,51.310001,124900,47.635117
2013-11-12,55.236,55.344,55.236,51.380001,226900,47.700111
2013-11-13,55.365,55.516,55.355,51.509998,266800,47.820778
2013-11-14,55.452,55.624,55.452,51.599998,75700,47.904339
2013-11-15,55.559,55.678,55.548,51.689999,50500,47.987877
2013-11-18,55.645,55.818,55.645,51.82,63300,48.108578
2013-11-19,55.721,55.796,55.667,51.77,65300,48.062153
2013-11-20,55.645,55.796,55.527,51.549999,128300,47.857914
2013-11-21,55.398,55.57,55.398,51.560001,553700,47.86721
2013-11-22,55.452,55.613,55.452,51.580002,334600,47.885757
2013-11-25,55.581,55.602,55.505,51.59,933700,47.895046
2013-11-26,55.559,55.602,55.505,51.549999,121800,47.857914
2013-11-27,55.548,55.548,55.29,51.419998,235100,47.737225
2013-11-29,55.136,55.287,55.136,51.349998,72700,47.740005
2013-12-02,55.233,55.265,55.007,51.18,341800,47.581974
2013-12-03,55.115,55.179,55.072,51.209999,215700,47.609852
2013-12-04,54.846,54.996,54.846,51.09,179000,47.498287
2013-12-05,54.878,55.007,54.878,51.099998,167400,47.507599
2013-12-06,54.943,55.104,54.943,51.189999,144300,47.591267
2013-12-09,55.104,55.222,55.104,51.330002,93200,47.721439
