"Date","VTEB.Open","VTEB.High","VTEB.Low","VTEB.Close","VTEB.Volume","VTEB.Adjusted"
2017-04-20,51.244,51.244,51.154,51.02,274900,50.846668
2017-04-21,51.224,51.244,51.174,51.02,304700,50.846668
2017-04-24,51.104,51.144,51.063,50.91,228900,50.737041
2017-04-25,51.084,51.084,50.973,50.82,187300,50.64735
2017-04-26,51.003,51.023,50.953,50.830002,139200,50.657314
2017-04-27,51.003,51.033,51.003,50.830002,201000,50.657314
2017-04-28,50.983,51.013,50.953,50.830002,152600,50.657314
2017-05-01,50.815,50.835,50.745,50.689999,172700,50.6054
2017-05-02,50.765,50.815,50.745,50.73,223300,50.645336
2017-05-03,50.825,50.865,50.805,50.73,289100,50.645336
2017-05-04,50.775,50.835,50.775,50.720001,190700,50.635353
2017-05-05,50.825,50.865,50.815,50.77,217600,50.685268
2017-05-08,50.835,50.855,50.805,50.740002,146900,50.655319
2017-05-09,50.835,50.845,50.815,50.740002,91700,50.655319
2017-05-10,50.875,50.905,50.875,50.799999,155300,50.715218
2017-05-11,50.925,50.955,50.905,50.84,208000,50.75515
2017-05-12,50.965,51.035,50.965,50.93,110600,50.845001
2017-05-15,51.035,51.035,50.995,50.93,290400,50.845001
2017-05-16,51.055,51.085,51.035,50.990002,252500,50.904903
2017-05-17,51.205,51.256,51.175,51.16,285800,51.074619
2017-05-18,51.316,51.346,51.276,51.240002,264300,51.154484
2017-05-19,51.286,51.366,51.286,51.259998,309800,51.17445
2017-05-22,51.306,51.376,51.306,51.27,174400,51.184433
2017-05-23,51.406,51.456,51.376,51.310001,254600,51.224369
2017-05-24,51.406,51.466,51.386,51.369999,312600,51.284267
2017-05-25,51.476,51.486,51.426,51.380001,203000,51.29425
