"Date","IQDF.Open","IQDF.High","IQDF.Low","IQDF.Close","IQDF.Volume","IQDF.Adjusted"
2016-04-14,23.823,23.834,23.76,22.530001,114700,21.335361
2016-04-15,23.77,23.834,23.749,22.49,47100,21.29748
2016-04-18,23.749,23.971,23.686,22.67,168000,21.467936
2016-04-19,24.151,24.298,24.151,22.98,108500,21.761499
2016-04-20,24.182,24.383,24.172,22.99,183100,21.770969
2016-04-21,24.203,24.203,24.003,22.790001,96200,21.581577
2016-04-22,24.034,24.119,23.96,22.780001,112000,21.572104
2016-04-25,23.992,23.992,23.897,22.66,54500,21.458466
2016-04-26,24.108,24.119,24.034,22.83,32200,21.619453
2016-04-27,24.066,24.172,23.971,22.860001,52100,21.647861
2016-04-28,23.887,24.098,23.855,22.610001,38300,21.411119
2016-04-29,24.003,24.003,23.76,22.620001,107800,21.420589
2016-05-02,23.929,24.024,23.918,22.74,92000,21.534227
2016-05-03,23.728,23.728,23.538,22.290001,65700,21.108088
2016-05-04,23.38,23.432,23.2,22.01,123300,20.842934
2016-05-05,23.327,23.359,23.221,22.040001,131500,20.871346
2016-05-06,23.147,23.285,23.137,22.02,361400,20.852404
2016-05-09,23.253,23.295,23.158,21.969999,332700,20.805054
2016-05-10,23.285,23.496,23.285,22.25,242500,21.070208
2016-05-11,23.348,23.454,23.295,22.1,93400,20.928162
2016-05-12,23.528,23.538,23.232,22.040001,69500,20.871346
2016-05-13,23.063,23.147,22.978,21.780001,70700,20.625128
