"Date","VYM.Open","VYM.High","VYM.Low","VYM.Close","VYM.Volume","VYM.Adjusted"
2012-04-18,56.185,56.35,56.115,47.790001,318200,40.63221
2012-04-19,56.268,56.35,55.738,47.599998,381100,40.470665
2012-04-20,56.232,56.597,56.232,47.939999,313900,40.759731
2012-04-23,55.903,55.938,55.656,47.540001,910000,40.419651
2012-04-24,56.021,56.35,56.009,47.810001,230600,40.649208
2012-04-25,56.632,56.738,56.491,48.200001,457900,40.980797
2012-04-26,56.585,57.126,56.538,48.529999,315700,41.261364
2012-04-27,57.208,57.232,56.95,48.549999,362700,41.278378
2012-04-30,57.044,57.079,56.867,48.459999,300500,41.201859
2012-05-01,57.02,57.608,56.926,48.68,586500,41.388905
2012-05-02,57.009,57.138,56.856,48.549999,277500,41.278378
2012-05-03,57.138,57.138,56.714,48.310001,258400,41.074318
2012-05-04,56.609,56.679,56.103,47.75,470400,40.598183
2012-05-07,55.891,56.268,55.868,47.709999,383900,40.564186
2012-05-08,55.879,56.009,55.515,47.580002,547300,40.453659
2012-05-09,55.456,55.832,55.197,47.240002,441200,40.164581
2012-05-10,55.985,56.091,55.75,47.48,368000,40.368629
2012-05-11,55.585,56.126,55.574,47.349998,350300,40.258095
2012-05-14,55.268,55.503,55.021,46.939999,328500,39.909519
2012-05-15,55.127,55.421,54.833,46.73,325800,39.730968
2012-05-16,55.115,55.374,54.856,46.639999,1623400,39.654442
2012-05-17,54.95,54.986,54.339,46.200001,519200,39.28035
2012-05-18,54.527,54.539,53.927,45.919998,454000,39.042278
2012-05-21,54.15,54.492,54.009,46.310001,329200,39.373875
2012-05-22,54.586,54.844,54.303,46.389999,451500,39.441887
2012-05-23,54.303,54.492,53.715,46.290001,1074800,39.356869
2012-05-24,54.597,54.786,54.315,46.540001,264000,39.56942
2012-05-25,54.774,54.903,54.468,46.43,285900,39.475899
2012-05-29,54.974,55.115,54.727,46.810001,672600,39.798992
2012-05-30,54.668,54.691,54.292,46.23,277500,39.305843
2012-05-31,54.409,54.715,53.986,46.200001,520900,39.28035
2012-06-01,53.68,53.833,53.245,45.299999,965700,38.515152
2012-06-04,53.362,53.398,52.927,45.25,429300,38.472633
2012-06-05,53.104,53.457,53.033,45.389999,413800,38.591663
2012-06-06,53.774,54.503,53.703,46.34,741300,39.399384
2012-06-07,55.056,55.08,54.597,46.490002,394100,39.526913
2012-06-08,54.633,55.103,54.492,46.830002,274500,39.81599
2012-06-11,55.527,55.527,54.562,46.41,503500,39.458889
2012-06-12,54.75,55.185,54.55,46.880001,360800,39.858498
2012-06-13,55.08,55.397,54.809,46.73,562600,39.730968
2012-06-14,55.138,55.832,55.044,47.290001,272400,40.207096
2012-06-15,55.926,56.138,55.762,47.68,370100,40.538681
2012-06-18,55.938,56.232,55.821,47.700001,487700,40.555691
2012-06-19,56.397,56.75,56.232,48.07,406900,40.870266
2012-06-20,56.538,56.644,56.091,48.009998,352700,40.819244
2012-06-21,56.597,56.632,55.409,47.150002,403500,40.088066
2012-06-22,55.668,55.915,55.585,47.459999,258200,40.351631
2012-06-25,54.417,54.417,54.02,46.48,428600,39.828915
2012-06-26,54.452,54.65,54.125,46.689999,248300,40.008869
2012-06-27,54.697,55.059,54.627,47.080002,456100,40.343071
2012-06-28,54.685,55.047,54.358,47.139999,706300,40.39447
2012-06-29,55.852,56.191,55.724,48.119999,822900,41.234241
2012-07-02,56.261,56.331,55.946,48.259998,532500,41.354214
2012-07-03,56.331,56.599,56.261,48.48,235400,41.542721
2012-07-05,56.506,56.529,56.132,48.279999,449500,41.371353
2012-07-06,55.911,55.992,55.724,47.91,1246400,41.054291
2012-07-09,55.946,55.946,55.607,47.869999,647100,41.020023
2012-07-10,56.167,56.179,55.444,47.66,237700,40.840069
2012-07-11,55.665,55.782,55.35,47.650002,369700,40.831505
2012-07-12,55.315,55.642,55.187,47.529999,278900,40.728657
2012-07-13,55.549,56.319,55.549,48.25,309600,41.345642
2012-07-16,56.214,56.272,55.957,48.139999,379700,41.251377
2012-07-17,56.366,56.669,55.852,48.5,290300,41.559868
2012-07-18,56.471,56.996,56.366,48.82,360900,41.83408
2012-07-19,57.089,57.311,56.762,48.84,700800,41.851219
2012-07-20,56.704,56.774,56.529,48.540001,250900,41.594139
2012-07-23,55.922,56.191,55.7,48.080002,386900,41.199966
2012-07-24,56.109,56.144,55.222,47.650002,495500,40.831505
2012-07-25,55.829,55.934,55.525,47.740002,248900,40.908623
2012-07-26,56.447,56.716,56.366,48.529999,267900,41.585571
2012-07-27,56.891,57.673,56.832,49.27,407900,42.219681
2012-07-30,57.498,57.743,57.381,49.330002,348900,42.271099
2012-07-31,57.486,57.696,57.358,49.150002,378800,42.116852
2012-08-01,57.708,57.719,57.183,49.09,683000,42.065437
2012-08-02,56.879,57.078,56.412,48.689999,477000,41.722672
2012-08-03,57.649,57.859,57.498,49.459999,219100,42.382496
2012-08-06,57.918,58.058,57.778,49.509998,371200,42.425331
2012-08-07,58.023,58.105,57.848,49.57,342000,42.476746
2012-08-08,57.766,58.023,57.708,49.700001,256900,42.58815
2012-08-09,57.953,58.093,57.836,49.689999,224200,42.579582
2012-08-10,57.848,58.163,57.696,49.84,316700,42.708115
2012-08-13,58.081,58.081,57.801,49.73,320000,42.613857
2012-08-14,58.233,58.28,57.953,49.799999,272400,42.67384
2012-08-15,58.023,58.21,57.999,49.779999,278200,42.6567
2012-08-16,58.128,58.408,57.953,49.990002,756000,42.836647
2012-08-17,58.373,58.443,58.21,49.98,368500,42.828087
2012-08-20,58.28,58.291,58.093,49.939999,293000,42.793808
2012-08-21,58.326,58.525,57.953,49.759998,499600,42.639565
2012-08-22,57.836,58.023,57.719,49.639999,345900,42.536736
2012-08-23,57.801,57.848,57.416,49.27,328600,42.219681
2012-08-24,57.404,57.964,57.381,49.599998,269100,42.502453
2012-08-27,57.999,58.058,57.813,49.599998,307200,42.502453
2012-08-28,57.778,58.034,57.743,49.610001,616400,42.511032
2012-08-29,57.953,58.081,57.789,49.630001,302600,42.52816
2012-08-30,57.696,57.719,57.439,49.34,292400,42.279655
2012-08-31,57.871,58.058,57.579,49.529999,228600,42.442471
2012-09-04,57.719,57.871,57.393,49.470001,360300,42.391068
2012-09-05,57.813,57.906,57.603,49.439999,389900,42.365353
2012-09-06,57.988,58.735,57.988,50.330002,446700,43.12801
2012-09-07,58.805,58.851,58.63,50.360001,353400,43.153721
2012-09-10,58.711,58.805,58.536,50.189999,257300,43.008034
2012-09-11,58.665,58.863,58.63,50.290001,359300,43.093719
2012-09-12,58.875,58.875,58.641,50.34,405500,43.136574
2012-09-13,58.723,59.715,58.665,51.080002,529600,43.770676
2012-09-14,59.657,59.878,59.388,51.07,539800,43.762104
2012-09-17,59.388,59.575,59.306,50.919998,339100,43.633575
2012-09-18,59.365,59.54,59.295,50.970001,248600,43.676418
2012-09-19,59.552,59.703,59.388,50.990002,522600,43.693565
2012-09-20,59.33,59.738,59.283,51.18,260100,43.856365
2012-09-21,59.995,59.995,59.668,51.150002,378500,43.830669
2012-09-24,58.585,58.967,58.585,50.810001,365500,43.885078
2012-09-25,58.943,59.094,58.411,50.48,334600,43.600052
2012-09-26,58.411,58.515,58.202,50.299999,395600,43.444584
2012-09-27,58.457,58.666,58.226,50.560001,292400,43.669155
2012-09-28,58.376,58.492,58.121,50.400002,434800,43.530956
2012-10-01,58.538,58.874,58.422,50.540001,483700,43.651878
2012-10-02,58.758,58.816,58.353,50.599998,428700,43.703693
2012-10-03,58.7,58.92,58.469,50.73,309400,43.815983
2012-10-04,58.978,59.233,58.932,51.119999,342300,44.152824
2012-10-05,59.488,59.592,59.163,51.259998,488700,44.273739
2012-10-08,59.163,59.291,59.059,51.18,334200,44.204655
2012-10-09,59.175,59.256,58.723,50.75,448200,43.833263
2012-10-10,58.7,58.747,58.214,50.32,679000,43.461853
2012-10-11,58.689,58.689,58.283,50.349998,417100,43.487774
2012-10-12,58.353,58.492,57.982,50.18,285700,43.340931
2012-10-15,58.121,58.608,58.075,50.59,604400,43.695057
2012-10-16,58.874,59.048,58.805,50.970001,388500,44.02327
2012-10-17,59.129,59.407,59.048,51.290001,661000,44.299648
2012-10-18,59.256,59.511,59.221,51.32,671500,44.325565
2012-10-19,59.291,59.43,58.388,50.540001,382000,43.651878
2012-10-22,58.469,58.503,57.959,50.439999,419100,43.565498
2012-10-23,57.844,57.948,57.357,49.779999,645100,42.995445
2012-10-24,57.739,57.832,57.427,49.689999,466100,42.917721
2012-10-25,57.925,58.052,57.461,49.889999,344500,43.090466
2012-10-26,57.728,57.901,57.45,49.849998,316300,43.055912
2012-10-31,58.064,58.098,57.508,49.900002,518000,43.099094
2012-11-01,57.901,58.33,57.89,50.299999,392800,43.444584
2012-11-02,58.446,58.55,57.658,49.869999,706600,43.073193
2012-11-05,57.531,57.809,57.392,49.860001,423100,43.064548
2012-11-06,57.878,58.422,57.867,50.259998,779600,43.41003
2012-11-07,57.693,57.774,56.639,49.209999,884900,42.503136
2012-11-08,56.917,57.195,56.408,48.720001,522000,42.079922
2012-11-09,56.165,56.802,55.968,48.700001,504600,42.062645
2012-11-12,56.454,56.535,56.234,48.619999,335200,41.993553
2012-11-13,55.979,56.639,55.968,48.48,419200,41.872631
2012-11-14,56.223,56.28,55.227,47.82,1472000,41.302589
2012-11-15,55.25,55.435,54.984,47.689999,727200,41.1903
2012-11-16,55.25,55.54,54.833,47.900002,486300,41.371681
2012-11-19,55.922,56.315,55.887,48.630001,410600,42.002193
2012-11-20,56.269,56.466,55.979,48.689999,574900,42.054012
2012-11-21,56.466,56.547,56.327,48.84,332800,42.183563
2012-11-23,56.744,57.253,56.744,49.450001,176700,42.71043
2012-11-26,56.964,57.103,56.836,49.32,374600,42.598152
2012-11-27,57.068,57.23,56.802,49.099998,527200,42.408123
2012-11-28,56.674,57.334,56.35,49.509998,406600,42.762253
2012-11-29,57.473,57.658,57.23,49.639999,305400,42.874535
2012-11-30,57.554,57.693,57.38,49.73,1022900,42.952267
2012-12-03,57.786,57.809,57.207,49.470001,972700,42.727703
2012-12-04,57.299,57.485,57.137,49.419998,350300,42.684517
2012-12-05,57.241,57.728,57.033,49.66,674200,42.891811
2012-12-06,57.531,57.635,57.427,49.73,336400,42.952267
2012-12-07,57.728,57.878,57.531,49.990002,320600,43.176834
2012-12-10,57.844,58.029,57.82,50.040001,331400,43.22002
2012-12-11,58.052,58.469,58.052,50.27,420300,43.418674
2012-12-12,58.434,58.654,58.191,50.310001,428000,43.453217
2012-12-13,58.249,58.318,57.832,50.049999,583100,43.228661
2012-12-14,57.878,57.971,57.728,49.939999,2260700,43.133644
2012-12-17,57.971,58.307,57.925,50.34,511900,43.479134
2012-12-18,58.353,58.758,58.179,50.720001,512400,43.807335
2012-12-19,58.7,58.816,58.249,50.32,932400,43.461853
2012-12-20,57.186,57.438,57.026,50.07,1014800,43.672939
2012-12-21,56.877,57.106,56.624,49.669998,1143500,43.324047
2012-12-24,56.751,56.751,56.613,49.48,337200,43.158321
2012-12-26,56.751,56.808,56.372,49.279999,1401200,42.983864
2012-12-27,56.51,56.613,55.845,49.220001,1267600,42.931541
2012-12-28,56.063,56.315,55.73,48.630001,994000,42.416924
2012-12-31,55.604,56.613,55.604,49.380001,1062000,43.071098
2013-01-02,57.851,57.966,57.393,50.560001,737300,44.100334
2013-01-03,58.012,58.012,57.702,50.470001,666400,44.021832
2013-01-04,58.012,58.161,57.84,50.66,492800,44.187561
2013-01-07,57.931,57.989,57.714,50.490002,741400,44.03928
2013-01-08,57.817,57.817,57.553,50.299999,513800,43.87355
2013-01-09,57.863,57.954,57.748,50.490002,728300,44.03928
2013-01-10,58.103,58.298,57.943,50.849998,509300,44.353283
2013-01-11,58.31,58.39,58.138,50.869999,1313500,44.370728
2013-01-14,58.321,58.447,58.252,50.959999,633900,44.449234
2013-01-15,58.218,58.539,58.207,51.029999,462600,44.510292
2013-01-16,58.344,58.447,58.275,50.91,430800,44.405617
2013-01-17,58.665,59.009,58.562,51.349998,485900,44.789398
2013-01-18,58.906,59.112,58.734,51.52,606800,44.937691
2013-01-22,59.021,59.319,58.94,51.720001,817400,45.112125
2013-01-23,59.307,59.307,59.101,51.709999,557800,45.103409
2013-01-24,59.422,59.743,59.41,51.889999,684000,45.260422
2013-01-25,59.743,59.823,59.548,52.18,912800,45.513355
2013-01-28,59.892,59.938,59.571,52.139999,686100,45.478481
2013-01-29,59.743,60.259,59.674,52.529999,605000,45.818653
2013-01-30,60.236,60.282,59.949,52.330002,526000,45.644199
2013-01-31,59.915,60.018,59.766,52.169998,560200,45.504639
2013-02-01,60.144,60.351,60.007,52.619999,932600,45.897137
2013-02-04,60.007,60.007,59.72,52.130001,762600,45.469749
2013-02-05,60.087,60.396,60.052,52.540001,733700,45.827362
2013-02-06,60.03,60.339,59.972,52.630001,547400,45.905872
2013-02-07,60.362,60.373,59.915,52.580002,589200,45.862259
2013-02-08,60.396,60.511,60.339,52.73,593100,45.993095
2013-02-11,60.442,60.5,60.293,52.75,448700,46.01054
2013-02-12,60.5,60.694,60.419,52.869999,432700,46.115204
2013-02-13,60.775,60.798,60.523,52.93,438400,46.167534
2013-02-14,60.557,60.706,60.454,52.919998,589700,46.158813
2013-02-15,60.752,60.832,60.442,52.950001,487400,46.184978
2013-02-19,60.844,61.21,60.809,53.369999,533100,46.551327
2013-02-20,61.199,61.256,60.717,52.98,769900,46.211151
2013-02-21,60.649,60.672,60.362,52.759998,833200,46.01926
2013-02-22,60.798,61.004,60.637,53.209999,570900,46.41177
2013-02-25,61.302,61.382,60.064,52.389999,664800,45.696526
2013-02-26,60.385,60.523,60.064,52.709999,483800,45.975643
2013-02-27,60.385,61.279,60.373,53.330002,503500,46.516438
2013-02-28,61.153,61.463,61.015,53.25,449100,46.446659
2013-03-01,60.809,61.302,60.626,53.43,549800,46.603664
2013-03-04,61.107,61.554,61.038,53.66,533300,46.804283
2013-03-05,61.864,62.139,61.852,54.099998,831600,47.188053
2013-03-06,62.208,62.219,61.944,54.139999,636000,47.222942
2013-03-07,62.162,62.219,62.07,54.200001,542700,47.275288
2013-03-08,62.345,62.449,62.07,54.349998,669000,47.406116
2013-03-11,62.277,62.483,62.196,54.490002,543800,47.52824
2013-03-12,62.529,62.575,62.3,54.459999,513300,47.502064
2013-03-13,62.46,62.575,62.3,54.529999,384900,47.563118
2013-03-14,62.666,62.838,62.621,54.810001,474400,47.80735
2013-03-15,62.643,62.689,62.414,54.619999,543000,47.641621
2013-03-18,62.093,62.529,62.024,54.330002,584700,47.388676
2013-03-19,62.437,62.529,61.99,54.389999,420800,47.441002
2013-03-20,62.712,62.85,62.598,54.740002,465100,47.746288
2013-03-21,62.449,62.678,62.265,54.41,602700,47.45845
2013-03-22,61.727,61.966,61.67,54.389999,401300,47.757877
2013-03-25,62.16,62.205,61.545,54.259998,602500,47.643719
2013-03-26,61.977,62.262,61.943,54.650002,607000,47.986168
2013-03-27,61.989,62.262,61.852,54.639999,360100,47.977386
2013-03-28,62.273,62.513,62.137,54.810001,952000,48.126656
2013-04-01,62.387,62.547,62.205,54.77,955400,48.091537
2013-04-02,62.535,62.775,62.478,54.98,480700,48.275925
