"Date","PSK.Open","PSK.High","PSK.Low","PSK.Close","PSK.Volume","PSK.Adjusted"
2013-02-14,60.313,60.313,60.168,45.52,68700,34.400345
2013-02-15,60.287,60.287,60.234,45.529999,63900,34.407894
2013-02-19,60.287,60.353,60.247,45.59,53900,34.453239
2013-02-20,60.34,60.366,60.274,45.580002,46200,34.445686
2013-02-21,60.313,60.34,60.247,45.599998,52900,34.4608
2013-02-22,60.38,60.446,60.3,45.630001,43900,34.483463
2013-02-25,60.419,60.499,60.366,45.700001,79500,34.536362
2013-02-26,60.538,60.578,60.432,45.759998,67200,34.581711
2013-02-27,60.485,60.684,60.485,45.77,49900,34.589272
2013-02-28,60.512,60.618,60.472,45.759998,31200,34.581711
2013-03-01,60.3,60.525,60.3,45.73,46700,34.559032
2013-03-04,60.552,60.605,60.366,45.799999,54100,34.611942
2013-03-05,60.671,60.684,60.605,45.830002,59900,34.634609
2013-03-06,60.71,60.763,60.605,45.830002,63600,34.634609
2013-03-07,60.684,60.763,60.618,45.84,80400,34.642162
2013-03-08,60.737,60.777,60.605,45.810001,61600,34.619499
2013-03-11,60.525,60.657,60.525,45.799999,61600,34.611942
2013-03-12,60.644,60.671,60.565,45.799999,42100,34.611942
2013-03-13,60.657,60.697,60.605,45.860001,88400,34.657284
2013-03-14,60.737,60.803,60.684,45.939999,69500,34.717743
2013-03-15,59.411,59.503,59.372,45.419998,123200,34.708572
2013-03-18,59.424,59.555,59.293,45.43,132400,34.716213
2013-03-19,59.503,59.673,59.359,45.43,55300,34.716213
2013-03-20,59.529,59.633,59.424,45.450001,85100,34.731491
2013-03-21,59.463,59.581,59.45,45.509998,83600,34.77734
2013-03-22,59.581,59.607,59.555,45.549999,41000,34.807907
2013-03-25,59.66,59.66,59.555,45.509998,59400,34.77734
2013-03-26,59.633,59.646,59.542,45.540001,60000,34.80027
2013-03-27,59.503,59.555,59.489,45.5,93600,34.769699
2013-03-28,59.607,59.712,59.568,45.599998,33800,34.846115
2013-04-01,59.738,59.738,59.529,45.57,40000,34.823189
2013-04-02,59.699,59.777,59.633,45.630001,45900,34.869049
2013-04-03,59.751,59.751,59.66,45.599998,31400,34.846115
