"Date","SCHH.Open","SCHH.High","SCHH.Low","SCHH.Close","SCHH.Volume","SCHH.Adjusted"
2016-08-15,NA,NA,NA,0,NA,0
2016-08-16,NA,NA,NA,0,NA,0
2016-08-17,NA,NA,NA,0,NA,0
2016-08-18,NA,NA,NA,0,NA,0
2016-08-19,44.991,45.012,44.529,43.529999,363300,42.396648
2016-08-22,44.766,44.94,44.642,43.740002,211800,42.601185
2016-08-23,45.115,45.145,44.899,43.75,377700,42.610924
2016-08-24,44.991,45.012,44.468,43.540001,303600,42.406395
2016-08-25,44.724,45.248,44.663,43.799999,185700,42.659622
2016-08-26,45.104,45.299,44.221,43.380001,464000,42.250557
2016-08-29,44.704,45.094,44.694,43.830002,365600,42.688843
2016-08-30,45.094,45.094,44.488,43.759998,330700,42.620663
2016-08-31,44.94,45.084,44.704,43.77,360100,42.630402
2016-09-01,44.981,45.012,44.612,43.709999,1053700,42.571968
2016-09-02,45.032,45.731,45.022,44.060001,395100,42.912857
2016-09-06,45.423,45.494,44.961,44.310001,425600,43.156349
2016-09-07,45.494,45.772,45.279,44.57,316100,43.409576
2016-09-08,45.628,45.628,45.145,44.009998,460900,42.864155
2016-09-09,44.807,44.807,43.451,42.34,813700,41.237637
2016-09-12,43.359,44.16,43.256,42.84,577000,41.724613
2016-09-13,43.687,43.8,42.763,41.73,978300,40.643517
2016-09-14,43.01,43.256,42.876,41.900002,585700,40.809093
2016-09-15,42.958,43.225,42.763,42.02,703600,40.925964
2016-09-16,43.143,43.205,42.846,42.040001,446300,40.945446
2016-09-19,42.822,43.088,42.792,42.16,413900,41.29137
2016-09-20,43.384,43.394,43.037,42.150002,477100,41.281574
2016-09-21,43.149,43.619,42.516,42.66,342400,41.781067
2016-09-22,43.956,44.395,43.905,43.439999,315900,42.544994
2016-09-23,44.282,44.66,43.854,43.580002,273700,42.682114
2016-09-26,44.405,44.701,44.262,43.689999,457900,42.789845
2016-09-27,44.742,44.742,44.048,43.200001,352500,42.309944
2016-09-28,44.19,44.487,44.058,43.549999,345100,42.652729
2016-09-29,44.384,44.384,43.751,42.939999,344900,42.055298
2016-09-30,44.099,44.282,43.537,42.650002,424100,41.771275
2016-10-03,43.476,43.476,42.598,41.82,1710800,40.958374
2016-10-04,42.669,42.669,41.852,41.25,818400,40.40012
2016-10-05,42.22,42.404,41.24,40.450001,527200,39.6166
2016-10-06,41.158,41.648,40.79,40.509998,624300,39.675362
2016-10-07,41.577,41.995,41.107,40.450001,595300,39.6166
2016-10-10,41.311,41.648,41.311,40.66,763300,39.822277
2016-10-11,41.444,41.536,41.015,40.290001,455000,39.4599
2016-10-12,41.168,41.587,41.168,40.720001,374000,39.881042
2016-10-13,41.383,41.893,41.332,40.970001,318100,40.125889
2016-10-14,41.863,42.087,41.577,40.810001,495100,39.969185
2016-10-17,41.801,42.005,41.669,40.900002,463000,40.057331
2016-10-18,42.056,42.23,41.873,41.139999,385800,40.292385
2016-10-19,42.056,42.138,41.791,41.23,271000,40.380531
2016-10-20,42.128,42.312,41.791,41.139999,310100,40.292385
2016-10-21,41.76,41.914,41.628,40.939999,654300,40.096504
2016-10-24,42.005,42.332,41.76,41.040001,303500,40.194447
2016-10-25,41.852,41.873,41.577,40.939999,315400,40.096504
2016-10-26,41.679,41.791,40.984,40.450001,700800,39.6166
2016-10-27,41.219,41.219,40.137,39.43,775500,38.617615
2016-10-28,40.351,40.729,40.259,39.549999,599600,38.735142
2016-10-31,40.596,41.127,40.392,40.25,478100,39.420723
2016-11-01,40.882,40.903,40.045,39.380001,853300,38.568645
2016-11-02,40.208,40.28,39.667,38.849998,725900,38.049564
2016-11-03,39.637,39.759,39.392,38.610001,526800,37.814514
2016-11-04,39.545,39.831,39.33,38.889999,502200,38.088741
2016-11-07,40.117,40.372,40.025,39.5,604100,38.686172
2016-11-08,40.311,40.678,40.157,39.709999,480200,38.891846
2016-11-09,39.535,40.28,39.075,39.139999,827900,38.333591
2016-11-10,39.953,39.984,38.83,38.639999,1068700,37.843891
2016-11-11,39.443,40.198,39.443,38.880001,772300,38.078953
