"Date","IEMG.Open","IEMG.High","IEMG.Low","IEMG.Close","IEMG.Volume","IEMG.Adjusted"
2014-05-21,55.119,55.302,55.119,51.209999,596000,47.466759
2014-05-22,55.626,55.626,55.464,51.549999,1408800,47.781906
2014-05-23,55.669,55.766,55.594,51.560001,581000,47.791176
2014-05-27,55.421,55.432,54.99,51.130001,526000,47.392605
2014-05-28,55.356,55.583,55.281,51.400002,1103200,47.642872
2014-05-29,55.648,55.691,55.507,51.52,550500,47.754097
2014-05-30,55.421,55.421,54.871,50.950001,1868700,47.225765
2014-06-02,55.141,55.227,55.043,51.099998,1074000,47.364796
2014-06-03,55.238,55.464,55.076,51.299999,534400,47.550179
2014-06-04,55.141,55.184,54.957,51.080002,559300,47.346268
2014-06-05,55.572,55.723,55.367,51.540001,509700,47.772633
2014-06-06,55.928,56.263,55.928,52.049999,954500,48.245358
2014-06-09,56.198,56.37,56.058,52.220001,835900,48.402931
2014-06-10,56.543,56.64,56.349,52.459999,1423100,48.625389
2014-06-11,56.414,56.5,56.295,52.290001,1315400,48.467815
2014-06-12,56.597,56.597,56.068,52.099998,678500,48.291702
2014-06-13,56.079,56.284,55.96,52.110001,625100,48.300972
2014-06-16,55.971,56.122,55.809,51.869999,892200,48.078514
2014-06-17,55.939,55.96,55.766,51.830002,958200,48.041439
2014-06-18,55.863,56.565,55.68,52.389999,561400,48.560505
2014-06-19,56.37,56.457,56.112,52.16,481000,48.347317
2014-06-20,56.112,56.187,55.982,52.040001,421900,48.236092
2014-06-23,56.112,56.122,55.863,51.91,410300,48.115589
2014-06-24,56.133,56.5,55.885,51.889999,614500,48.09705
2014-06-25,55.118,55.204,54.936,51.59,1260700,48.231678
2014-06-26,55.268,55.3,55.054,51.639999,486400,48.278423
2014-06-27,55.268,55.407,55.086,51.799999,411000,48.428009
2014-06-30,55.482,55.482,55.204,51.700001,416600,48.334522
2014-07-01,55.535,55.781,55.535,52.130001,426600,48.736526
2014-07-02,56.113,56.113,55.952,52.419998,889900,49.007648
2014-07-03,56.049,56.402,55.984,52.720001,273000,49.28812
2014-07-07,56.273,56.369,56.188,52.689999,577600,49.260067
2014-07-08,56.38,56.38,55.995,52.459999,819600,49.045044
2014-07-09,56.145,56.466,56.081,52.75,490000,49.316166
2014-07-10,55.653,56.145,55.524,52.48,624900,49.063744
2014-07-11,55.963,56.156,55.888,52.450001,752000,49.035698
2014-07-14,56.423,56.508,56.327,52.830002,2699700,49.390965
2014-07-15,56.583,56.594,56.188,52.77,347700,49.334869
2014-07-16,56.765,56.765,56.53,52.919998,465200,49.475098
2014-07-17,56.166,56.359,55.514,51.970001,629400,48.586941
2014-07-18,56.284,56.509,56.188,52.759998,425200,49.325512
2014-07-21,56.262,56.69,56.156,52.93,451800,49.484455
2014-07-22,57.214,57.268,57.107,53.450001,506000,49.9706
2014-07-23,57.247,57.3,57.075,53.439999,469700,49.961246
2014-07-24,57.321,57.428,57.225,53.639999,578400,50.148228
2014-07-25,57.161,57.257,57.022,53.419998,725300,49.942551
2014-07-28,57.311,57.557,57.129,53.799999,330300,50.297813
2014-07-29,57.578,57.578,57.129,53.43,1061900,49.9519
2014-07-30,57.418,57.428,56.637,53.200001,1056100,49.736877
2014-07-31,56.295,56.359,55.77,52.220001,6633700,48.820671
2014-08-01,56.016,56.369,55.77,52.630001,1933300,49.203979
2014-08-04,56.551,56.861,56.305,53.09,764200,49.634037
2014-08-05,56.295,56.359,55.803,52.27,3077500,48.867416
2014-08-06,55.738,55.899,55.599,52.009998,2744600,48.624336
2014-08-07,55.77,55.824,55.204,51.790001,457200,48.418663
2014-08-08,55.524,55.984,55.471,52.27,656200,48.867416
2014-08-11,56.198,56.583,56.198,52.889999,447100,49.447052
2014-08-12,56.391,56.605,56.241,52.91,1357100,49.465748
2014-08-13,56.958,57.107,56.797,53.23,419800,49.764923
2014-08-14,57.054,57.097,56.915,53.299999,552900,49.830368
2014-08-15,57.257,57.257,56.583,53.169998,677400,49.708828
2014-08-18,57.14,57.354,56.936,53.619999,377300,50.129532
2014-08-19,57.471,57.674,57.45,53.91,744600,50.400658
2014-08-20,57.418,57.642,57.343,53.77,1034700,50.269772
2014-08-21,57.407,57.482,57.279,53.619999,466400,50.129532
2014-08-22,57.428,57.503,57.065,53.57,465400,50.082787
2014-08-25,57.514,57.685,57.386,53.93,401800,50.419357
2014-08-26,57.696,58.006,57.696,54.23,6913600,50.699821
2014-08-27,58.049,58.231,57.985,54.389999,1424300,50.849407
2014-08-28,57.578,57.76,57.503,53.970001,509900,50.456749
2014-08-29,57.792,57.835,57.589,53.959999,493500,50.447403
2014-09-02,57.696,57.706,57.525,53.939999,1384200,50.428699
2014-09-03,58.584,58.616,58.305,54.619999,891100,51.064434
2014-09-04,58.594,58.669,58.102,54.439999,960800,50.896152
2014-09-05,58.402,58.712,58.209,54.889999,1445600,51.316856
2014-09-08,58.626,58.626,57.963,54.310001,3904600,50.77462
2014-09-09,57.771,57.867,57.225,53.669998,3508200,50.176277
2014-09-10,57.022,57.3,56.829,53.560001,2823200,50.073441
2014-09-11,56.915,56.99,56.797,53.209999,4895300,49.74622
2014-09-12,56.68,56.68,56.166,52.669998,1245800,49.241375
2014-09-15,56.241,56.252,55.899,52.43,844800,49.017002
2014-09-16,56.006,56.99,55.984,52.990002,1880200,49.540543
2014-09-17,56.733,56.755,56.134,52.48,1868700,49.063744
2014-09-18,56.316,56.391,56.156,52.59,1348100,49.16658
2014-09-19,56.466,56.487,55.76,52.299999,1658700,48.895462
2014-09-22,55.578,55.578,54.893,51.529999,1753000,48.175579
2014-09-23,54.872,55.214,54.754,51.220001,1280500,47.885765
2014-09-24,55.171,55.663,54.958,51.959999,1143000,48.577587
2014-09-25,54.776,54.829,54.273,50.810001,1440200,47.502457
2014-09-26,54.38,54.797,54.369,51.099998,556000,47.773575
2014-09-29,53.481,53.781,53.417,50.09,1408900,46.829323
2014-09-30,53.417,53.631,53.353,50.040001,2468100,46.782581
2014-10-01,53.396,53.396,52.519,49.200001,2652800,45.997261
2014-10-02,52.69,53.118,52.102,49.369999,1796100,46.156189
2014-10-03,52.957,53.332,52.765,49.779999,1309700,46.539501
2014-10-06,54.134,54.198,53.856,50.41,3662400,47.128487
2014-10-07,53.877,53.909,53.364,49.889999,2653100,46.642342
2014-10-08,53.524,54.23,52.947,50.639999,3268000,47.343521
2014-10-09,54.027,54.048,53.161,49.860001,3298800,46.6143
2014-10-10,52.797,52.936,52.166,48.779999,1532900,45.604595
2014-10-13,52.936,53.353,52.669,49.259998,2718800,46.053356
2014-10-14,52.861,53.214,52.54,49.419998,2075900,46.202938
2014-10-15,52.283,52.433,51.171,48.919998,3143400,45.735485
2014-10-16,51.171,52.316,51.128,48.52,3645500,45.361526
2014-10-17,52.358,52.701,52.123,48.970001,1634200,45.782234
2014-10-20,52.348,52.604,52.262,49.139999,1834100,45.941162
2014-10-21,52.551,52.979,52.465,49.310001,2045200,46.100098
2014-10-22,52.733,52.818,52.316,49.02,1245700,45.828979
2014-10-23,52.519,52.733,52.39,49.07,1231800,45.875725
2014-10-24,52.519,52.989,52.476,49.369999,2018900,46.156189
2014-10-27,51.984,52.337,51.909,48.91,2354000,45.726139
2014-10-28,52.872,53.396,52.872,49.82,1545300,46.5769
2014-10-29,53.685,53.824,53.011,49.77,2080000,46.530155
2014-10-30,53.385,53.931,53.385,50.27,1868200,46.997604
2014-10-31,53.941,54.113,53.813,50.43,1401300,47.147194
2014-11-03,53.845,53.941,53.481,50.110001,1832600,46.848022
2014-11-04,53.599,53.674,53.31,50.139999,935100,46.876068
2014-11-05,53.257,53.268,52.915,49.75,960600,46.511456
2014-11-06,53.032,53.15,52.551,49.150002,5221500,45.950516
2014-11-07,52.615,52.904,52.594,49.450001,1979800,46.230988
2014-11-10,53.353,53.385,52.968,49.540001,764700,46.315125
2014-11-11,52.882,53.043,52.786,49.540001,1202600,46.315125
2014-11-12,52.979,53.193,52.797,49.419998,1797800,46.202938
2014-11-13,53.054,53.182,52.604,49.32,1315700,46.109447
2014-11-14,52.69,53.15,52.636,49.68,2417200,46.446011
2014-11-17,52.669,52.679,52.551,49.200001,2062300,45.997261
2014-11-18,52.669,52.936,52.669,49.439999,999100,46.221634
2014-11-19,52.775,53.032,52.529,49.450001,1636900,46.230988
2014-11-20,52.872,53.011,52.743,49.349998,1259100,46.137493
2014-11-21,54.027,54.273,53.781,50.720001,2432300,47.418312
2014-11-24,53.995,53.995,53.792,50.369999,884000,47.091095
2014-11-25,53.995,53.995,53.535,50.09,1640500,46.829323
2014-11-26,53.995,54.23,53.952,50.650002,1057300,47.352875
2014-11-28,53.599,53.599,53.171,49.779999,798800,46.539501
2014-12-01,52.722,52.722,52.294,48.990002,5239800,45.80093
2014-12-02,52.594,52.594,52.337,48.959999,2326600,45.772881
2014-12-03,52.551,52.711,52.476,49.130001,1052300,45.93182
2014-12-04,52.797,52.861,52.54,49.209999,1552900,46.006611
2014-12-05,52.455,52.669,52.316,49.150002,987500,45.950516
2014-12-08,52.262,52.262,51.749,48.450001,1456500,45.296085
2014-12-09,51.289,51.374,51.075,48.009998,2227800,44.884724
2014-12-10,51.257,51.257,50.583,47.369999,2862800,44.286385
2014-12-11,50.465,50.69,50.166,46.98,1899400,43.921772
2014-12-12,50.091,50.144,49.47,46.27,3209900,43.257992
2014-12-15,49.524,49.631,48.561,45.57,3036600,42.603558
2014-12-16,48.251,49.299,48.091,45.439999,4765800,42.482018
2014-12-17,47.509,48.848,47.362,45.880001,5867700,43.505173
2014-12-18,48.901,49.102,48.553,46.32,3596500,43.922398
2014-12-19,48.922,49.334,48.922,46.560001,4086900,44.149971
2014-12-22,49.608,49.798,49.566,47.099998,8904200,44.662022
2014-12-23,49.344,49.513,49.07,46.689999,3682400,44.273239
2014-12-24,49.302,49.418,49.186,46.82,1553400,44.396511
2014-12-26,49.819,49.977,49.724,47.18,1616300,44.737881
2014-12-29,49.734,49.85,49.545,46.990002,3028000,44.557716
2014-12-30,49.608,49.713,49.471,47.02,2177100,44.58617
2014-12-31,49.819,49.903,49.576,47.029999,1822100,44.595646
2015-01-02,49.523,49.566,48.996,46.59,3759600,44.178421
2015-01-05,48.87,48.933,48.279,45.880001,2753500,43.505173
2015-01-06,48.416,48.574,47.878,45.639999,3063900,43.277592
2015-01-07,49.007,49.165,48.775,46.580002,2111400,44.168941
2015-01-08,49.829,50.135,49.734,47.41,1520600,44.955978
2015-01-09,50.009,50.093,49.65,47.240002,1850800,44.794777
2015-01-12,49.787,49.808,49.376,46.889999,1456200,44.462894
2015-01-13,50.061,50.262,49.45,47.27,2392200,44.823219
2015-01-14,49.407,49.682,49.218,47.07,1609000,44.633572
2015-01-15,50.219,50.314,49.618,47.099998,1709200,44.662022
2015-01-16,49.566,50.082,49.534,47.43,2943500,44.974937
2015-01-20,49.777,49.987,49.682,47.34,1994700,44.889599
2015-01-21,50.42,50.958,50.314,48.27,2296600,45.771461
2015-01-22,51.232,51.854,50.958,49.139999,3315800,46.596424
2015-01-23,51.59,51.706,51.443,48.799999,1781400,46.274029
2015-01-26,51.358,51.643,51.232,48.82,3650800,46.292995
2015-01-27,50.989,51.369,50.947,48.630001,1802500,46.112827
