"Date","SCHA.Open","SCHA.High","SCHA.Low","SCHA.Close","SCHA.Volume","SCHA.Adjusted"
2012-04-16,38.947,39.023,38.416,35.75,88500,32.998852
2012-04-17,39.11,39.619,39.056,36.330002,96100,33.534225
2012-04-18,39.175,39.272,38.947,36.099998,83200,33.321918
2012-04-19,39.186,39.543,38.752,36.009998,80400,33.238842
2012-04-20,39.207,39.489,39.142,36.150002,66900,33.368069
2012-04-23,38.557,38.709,38.265,35.709999,105600,32.961937
2012-04-24,38.709,39.001,38.557,35.860001,74800,33.100391
2012-04-25,39.326,39.619,39.261,36.450001,139000,33.644981
2012-04-26,39.456,39.901,39.446,36.73,99800,33.903431
2012-04-27,39.955,40.139,39.532,37,88700,34.152664
2012-04-30,40.096,40.096,39.662,36.66,84000,33.838829
2012-05-01,39.706,40.366,39.608,36.709999,136200,33.884972
2012-05-02,39.511,39.89,39.359,36.790001,62000,33.958828
2012-05-03,39.857,39.868,39.164,36.259998,77000,33.469612
2012-05-04,39.066,39.099,38.503,35.630001,171000,32.888084
2012-05-07,38.416,38.774,38.395,35.669998,133000,32.925014
2012-05-08,38.33,38.622,37.94,35.619999,107100,32.878864
2012-05-09,38.08,38.59,37.994,35.470001,142800,32.740406
2012-05-10,38.709,38.731,38.33,35.549999,88700,32.814243
2012-05-11,38.145,38.741,38.145,35.509998,80000,32.777325
2012-05-14,38.059,38.243,37.842,35.029999,81000,32.334251
2012-05-15,37.907,38.221,37.723,34.93,86000,32.241955
2012-05-16,38.005,38.135,37.506,34.639999,183500,31.974279
2012-05-17,37.55,37.593,36.618,33.82,274700,31.217373
2012-05-18,36.694,36.791,36.13,33.470001,153000,30.894318
2012-05-21,36.358,37.051,36.109,34.200001,225300,31.568136
2012-05-22,37.116,37.376,36.759,33.98,104800,31.365061
2012-05-23,36.607,37.279,36.347,34.299999,90000,31.66044
2012-05-24,37.192,37.333,36.813,34.349998,60200,31.706593
2012-05-25,37.246,37.376,37.105,34.41,69900,31.761971
2012-05-29,37.615,37.875,37.398,34.84,108500,32.158886
2012-05-30,37.376,37.387,37.008,34.220001,704500,31.586597
2012-05-31,37.105,37.149,36.499,34.130001,101000,31.503523
2012-06-01,36.109,36.369,35.784,33.040001,410300,30.497406
2012-06-04,35.925,36.195,35.296,32.939999,138700,30.405096
2012-06-05,35.459,36.141,35.459,33.34,104900,30.774319
