"Date","MBG.Open","MBG.High","MBG.Low","MBG.Close","MBG.Volume","MBG.Adjusted"
2012-03-02,31.691,31.691,31.691,27.530001,700,23.915483
2012-03-05,31.656,31.737,31.622,27.469999,3600,23.863363
2012-03-06,31.748,31.748,31.691,27.540001,3100,23.924177
2012-03-07,31.668,31.668,31.61,27.459999,600,23.854677
2012-03-08,31.679,31.725,31.668,27.51,16400,23.898109
2012-03-09,31.725,31.737,31.656,27.549999,6700,23.932854
2012-03-12,31.783,31.783,31.714,27.549999,1400,23.932854
2012-03-13,31.748,31.783,31.645,27.52,9600,23.906797
2012-03-14,31.691,31.702,31.61,27.48,13900,23.872053
2012-03-15,31.668,31.691,31.599,27.530001,11000,23.915483
2012-03-16,31.714,31.714,31.553,27.469999,8700,23.863363
2012-03-19,31.61,31.679,31.576,27.49,5500,23.880737
2012-03-20,31.645,32.036,31.334,27.469999,8200,23.863363
2012-03-21,31.714,31.737,31.576,27.57,1800,23.95023
2012-03-22,31.737,31.737,31.61,27.459999,1000,23.854677
2012-03-23,31.679,31.737,31.679,27.530001,900,23.915483
2012-03-26,31.714,31.771,31.668,27.540001,3000,23.924177
2012-03-27,31.783,31.806,31.668,27.629999,3000,24.002346
2012-03-28,31.748,31.817,31.679,27.57,2200,23.95023
2012-03-29,31.817,31.817,31.771,27.6,800,23.976286
2012-03-30,31.783,31.829,31.645,27.52,17700,23.906797
2012-04-02,31.841,33.302,31.68,27.57,99100,23.975489
2012-04-03,31.841,31.841,31.761,27.620001,4400,24.018972
2012-04-04,31.657,31.784,31.646,27.639999,10800,24.036366
2012-04-05,31.646,31.761,31.646,27.530001,2500,23.94071
2012-04-09,31.657,31.657,31.657,27.530001,0,23.94071
2012-04-10,31.887,31.956,31.853,27.700001,1100,24.088551
2012-04-11,31.784,31.887,31.784,27.68,2700,24.071157
2012-04-12,31.853,31.853,31.749,27.629999,12800,24.027672
2012-04-13,31.876,31.945,31.761,27.66,25200,24.053753
2012-04-16,31.887,31.922,31.795,27.67,11500,24.062454
2012-04-17,31.807,31.818,31.761,27.629999,13000,24.027672
