"Date","VGIT.Open","VGIT.High","VGIT.Low","VGIT.Close","VGIT.Volume","VGIT.Adjusted"
2016-01-22,66.872,66.954,66.78,65.32,77800,63.755135
2016-01-25,66.944,67.046,66.923,65.440002,81400,63.872269
2016-01-26,67.046,67.138,67.005,65.470001,84500,63.901554
2016-01-27,67.026,67.118,66.729,65.480003,164200,63.911331
2016-01-28,67.067,67.22,67.056,65.580002,66700,64.008911
2016-01-29,67.405,67.446,67.272,65.82,194400,64.243172
2016-02-01,67.215,67.287,67.103,65.660004,351600,64.160095
2016-02-02,67.379,67.533,67.348,65.940002,164700,64.433701
2016-02-03,67.471,67.737,67.43,65.940002,151100,64.433701
2016-02-04,67.512,67.604,67.471,66.019997,221900,64.511864
2016-02-05,67.502,67.625,67.42,66.050003,126700,64.541206
2016-02-08,67.768,67.962,67.758,66.330002,173100,64.814812
2016-02-09,68.065,68.116,67.87,66.32,101500,64.805038
2016-02-10,67.881,68.055,67.788,66.410004,67300,64.893005
2016-02-11,68.331,68.454,68.085,66.629997,140300,65.107964
2016-02-12,67.993,68.055,67.758,66.389999,67900,64.873436
2016-02-16,67.481,67.881,67.471,66.169998,189900,64.658463
2016-02-17,67.604,67.645,67.461,66.050003,83700,64.541206
2016-02-18,67.594,67.87,67.594,66.290001,55500,64.775711
2016-02-19,67.799,67.85,67.717,66.199997,55700,64.687759
2016-02-22,67.727,67.778,67.666,66.190002,74100,64.678001
2016-02-23,67.625,67.86,67.584,66.290001,124800,64.775711
2016-02-24,68.034,68.116,67.748,66.279999,84600,64.765961
2016-02-25,67.932,68.034,67.891,66.43,41700,64.912529
2016-02-26,67.778,67.809,67.645,66.150002,46700,64.638908
2016-02-29,67.696,67.84,67.696,66.239998,58800,64.726852
2016-03-01,67.617,67.647,67.239,65.790001,108400,64.37265
2016-03-02,67.126,67.249,67.106,65.769997,424800,64.353096
2016-03-03,67.167,67.3,67.136,65.790001,385400,64.37265
2016-03-04,67.167,67.198,66.993,65.639999,128200,64.225899
2016-03-07,67.034,67.034,66.942,65.540001,78500,64.128052
2016-03-08,67.198,67.3,67.198,65.800003,40500,64.382454
2016-03-09,67.116,67.147,67.034,65.669998,78900,64.255241
2016-03-10,67.024,67.065,66.84,65.480003,60700,64.069344
2016-03-11,66.85,66.881,66.738,65.349998,49200,63.94215
2016-03-14,66.779,66.881,66.748,65.349998,59400,63.94215
2016-03-15,66.891,66.891,66.748,65.339996,45200,63.932335
2016-03-16,66.687,67.075,66.636,65.610001,96100,64.196541
2016-03-17,67.136,67.177,67.085,65.660004,57100,64.245476
2016-03-18,67.167,67.3,67.167,65.800003,70500,64.382454
2016-03-21,67.167,67.198,67.095,65.690002,219300,64.274818
