"Date","SCHR.Open","SCHR.High","SCHR.Low","SCHR.Close","SCHR.Volume","SCHR.Adjusted"
2013-08-23,54.768,54.968,54.715,52.040001,60700,49.343773
2013-08-26,55.01,55.01,54.957,52.139999,13200,49.438599
2013-08-27,55.126,55.21,55.084,52.330002,21200,49.618748
2013-08-28,55.116,55.116,55,52.200001,25400,49.495495
2013-08-29,54.978,55.116,54.968,52.240002,26000,49.533409
2013-08-30,55.116,55.126,55,52.169998,110100,49.467033
2013-09-03,54.834,54.834,54.623,52,92300,49.340824
2013-09-04,54.771,54.771,54.613,51.830002,26300,49.179531
2013-09-05,54.486,54.486,54.339,51.560001,44100,48.923359
2013-09-06,54.634,54.665,54.528,51.75,37000,49.103619
2013-09-09,54.76,54.76,54.665,51.869999,15300,49.217487
2013-09-10,54.581,54.623,54.518,51.73,19100,49.084648
2013-09-11,54.687,54.718,54.571,51.900002,18000,49.245956
2013-09-12,54.802,54.824,54.687,51.900002,13900,49.245956
2013-09-13,54.718,54.771,54.718,51.950001,12200,49.2934
2013-09-16,55.087,55.108,54.876,52.080002,15700,49.416748
2013-09-17,54.961,54.982,54.887,52.139999,14000,49.473675
2013-09-18,54.95,55.593,54.824,52.540001,54000,49.853233
2013-09-19,55.456,55.456,55.287,52.48,22000,49.796295
2013-09-20,55.329,55.361,55.256,52.5,17600,49.815285
2013-09-23,55.382,55.424,55.361,52.57,14800,49.881691
2013-09-24,55.477,55.551,55.456,52.689999,18400,49.995564
2013-09-25,55.54,55.624,55.53,52.779999,16700,50.080959
2013-09-26,55.582,55.582,55.509,52.709999,17400,50.014542
2013-09-27,55.635,55.667,55.603,52.810001,52100,50.109417
2013-09-30,55.614,55.688,55.572,52.84,22700,50.137894
2013-10-01,55.537,55.537,55.442,52.68,81500,50.036255
2013-10-02,55.59,55.632,55.537,52.790001,13100,50.140743
2013-10-03,55.527,55.674,55.527,52.810001,20000,50.159744
2013-10-04,55.579,55.59,55.463,52.720001,25600,50.074242
2013-10-07,55.653,55.653,55.506,52.75,23500,50.102741
2013-10-08,55.548,55.548,55.453,52.689999,32000,50.045757
2013-10-09,55.474,55.527,55.442,52.709999,12600,50.064739
2013-10-10,55.369,55.421,55.337,52.619999,17600,49.979263
2013-10-11,55.474,55.537,55.432,52.650002,14100,50.007771
2013-10-14,55.527,55.537,55.306,52.549999,11800,49.912781
2013-10-15,55.484,55.484,55.358,52.599998,18600,49.960281
2013-10-16,55.4,55.548,55.306,52.75,18300,50.102741
2013-10-17,55.663,55.748,55.653,52.91,85500,50.254715
2013-10-18,55.79,55.79,55.716,52.93,15900,50.273701
2013-10-21,55.685,55.737,55.653,52.889999,40000,50.23571
2013-10-22,55.864,55.916,55.864,53.09,8800,50.425686
2013-10-23,55.927,55.99,55.895,53.099998,2219000,50.435181
2013-10-24,55.937,55.937,55.842,53.060001,250900,50.397182
2013-10-25,55.853,55.937,55.853,53.130001,27100,50.46368
2013-10-28,55.895,55.937,55.895,53.099998,35700,50.435181
2013-10-29,55.885,55.99,55.885,53.169998,29700,50.501682
2013-10-30,56.021,56.379,55.885,53.080002,68100,50.416187
2013-10-31,55.969,55.99,55.79,53.049999,28600,50.387688
2013-11-01,55.649,55.649,55.523,52.84,27000,50.258331
2013-11-04,55.67,55.67,55.607,52.900002,9900,50.315407
2013-11-05,55.565,55.565,55.491,52.810001,7900,50.229801
2013-11-06,55.575,55.649,55.575,52.889999,15700,50.305882
2013-11-07,55.67,55.722,55.67,52.990002,6400,50.401024
2013-11-08,55.386,55.397,55.355,52.669998,19800,50.096642
2013-11-11,55.344,55.46,55.344,52.68,7700,50.106152
2013-11-12,55.355,55.365,55.291,52.610001,12100,50.03957
2013-11-13,55.428,55.502,55.397,52.75,12700,50.172737
2013-11-14,55.565,55.638,55.523,52.919998,13100,50.334419
2013-11-15,55.607,55.617,55.575,52.889999,7900,50.305882
2013-11-18,55.638,55.723,55.617,53,31700,50.410515
2013-11-19,55.659,55.691,55.586,52.900002,12800,50.315407
2013-11-20,55.628,55.701,55.47,52.77,16400,50.19175
2013-11-21,55.428,55.554,55.428,52.799999,8100,50.220291
2013-11-22,55.523,55.586,55.502,52.869999,65900,50.286873
2013-11-25,55.586,55.638,55.586,52.880001,8200,50.296375
2013-11-26,55.638,55.723,55.638,52.959999,12600,50.372467
2013-11-27,55.67,55.67,55.544,52.91,22000,50.324917
2013-11-29,55.554,55.596,55.554,52.880001,66400,50.296375
2013-12-02,55.512,55.512,55.323,52.73,96100,50.201164
2013-12-03,55.491,55.491,55.428,52.810001,343900,50.277344
2013-12-04,55.292,55.334,55.281,52.669998,12600,50.144058
2013-12-05,55.26,55.281,55.187,52.57,15900,50.048859
2013-12-06,55.197,55.271,55.166,52.560001,17300,50.03933
2013-12-09,55.281,55.281,55.187,52.57,16100,50.048859
2013-12-10,55.313,55.355,55.271,52.700001,14900,50.172619
2013-12-11,55.292,55.323,55.239,52.610001,28800,50.086929
2013-12-12,55.197,55.197,55.113,52.48,41900,49.963165
2013-12-13,55.208,55.208,55.124,52.52,7000,50.001251
2013-12-16,55.25,55.25,55.113,52.509998,7800,49.991711
2013-12-17,55.155,55.239,55.155,52.580002,9500,50.058388
2013-12-18,55.155,55.26,55.061,52.48,152500,49.963165
2013-12-19,54.956,54.966,54.914,52.32,20700,49.810837
2013-12-20,54.945,55.008,54.914,52.32,92300,49.810837
2013-12-23,54.935,54.956,54.872,52.240002,99800,49.73468
2013-12-24,54.809,54.819,54.724,52.139999,20200,49.639473
2013-12-26,54.724,54.787,54.703,52.099998,29700,49.601391
2013-12-27,54.636,54.668,54.594,52.07,16300,49.624268
2013-12-30,54.699,54.731,54.668,52.16,37600,49.710037
2013-12-31,54.668,54.699,54.615,52.07,27400,49.624268
2014-01-02,54.668,54.731,54.647,52.150002,76300,49.700512
2014-01-03,54.678,54.762,54.647,52.110001,14500,49.66238
2014-01-06,54.731,54.815,54.72,52.209999,42100,49.757687
