"Date","ITR.Open","ITR.High","ITR.Low","ITR.Close","ITR.Volume","ITR.Adjusted"
2010-11-04,41.346,41.346,41.126,33.799999,27300,27.647812
2010-11-05,41.37,41.37,41.211,33.77,19500,27.62327
2010-11-08,41.321,41.321,41.187,33.75,12800,27.606905
2010-11-09,41.15,41.236,41.077,33.599998,9900,27.484205
2010-11-10,41.077,41.077,40.881,33.549999,13300,27.443302
2010-11-11,41.003,41.064,40.808,33.5,17900,27.402403
2010-11-12,40.942,41.003,40.747,33.360001,20000,27.287897
2010-11-15,40.661,40.698,40.514,33.18,15900,27.140652
2010-11-16,40.624,40.685,40.465,33.279999,25500,27.222448
2010-11-17,40.661,40.734,40.527,33.150002,70800,27.116116
2010-11-18,40.502,40.563,40.465,33.139999,16500,27.107931
2010-11-19,40.575,40.637,40.49,33.169998,31100,27.132471
2010-11-22,40.71,40.795,40.6,33.27,48600,27.214279
2010-11-23,40.869,40.881,40.71,33.389999,35500,27.312428
2010-11-24,40.722,40.722,40.453,33.18,12500,27.140652
2010-11-26,40.588,40.624,40.575,33.220001,9300,27.173372
2010-11-29,40.698,40.698,40.588,33.27,13500,27.214279
2010-11-30,40.624,40.685,40.575,33.189999,12000,27.14884
2010-12-01,40.329,40.329,40.048,32.860001,53300,26.953613
2010-12-02,40.207,40.207,39.963,32.779999,41200,26.887991
2010-12-03,40.305,40.305,40,32.849998,12800,26.945402
2010-12-06,40.329,40.329,40.158,33.040001,21400,27.101261
2010-12-07,40.28,40.28,39.939,32.77,15900,26.879789
2010-12-08,39.841,39.866,39.658,32.689999,36800,26.814173
2010-12-09,39.817,39.939,39.744,32.639999,37300,26.773159
2010-12-10,39.756,39.841,39.707,32.59,17800,26.732143
2010-12-13,39.671,39.878,39.622,32.689999,22100,26.814173
2010-12-14,39.683,39.78,39.524,32.439999,19100,26.609108
2010-12-15,39.719,39.719,39.488,32.470001,20500,26.633718
2010-12-16,39.524,39.585,39.415,32.439999,37300,26.609108
2010-12-17,39.731,39.89,39.634,32.689999,25800,26.814173
2010-12-20,39.89,39.939,39.732,32.68,35200,26.805962
2010-12-21,39.902,39.914,39.756,32.709999,14800,26.830574
2010-12-22,39.951,39.951,39.805,32.700001,20300,26.822378
2010-12-23,39.841,39.841,39.719,32.650002,22800,26.781363
2010-12-27,39.671,39.866,39.671,32.639999,16800,26.773159
2010-12-28,39.878,39.878,39.573,32.529999,26100,26.68293
2010-12-29,38.98,39.318,38.98,32.459999,23500,26.830881
2010-12-30,39.185,39.294,39.113,32.470001,26100,26.839161
2010-12-31,39.246,39.439,39.246,32.560001,3500,26.913551
2011-01-03,39.355,39.439,39.173,32.540001,54900,26.897017
2011-01-04,39.439,39.488,39.403,32.619999,18100,26.96315
2011-01-05,39.27,39.923,39.234,32.540001,507500,26.897017
2011-01-06,39.488,39.536,39.415,32.68,12300,27.012743
2011-01-07,39.597,39.706,39.548,32.810001,69500,27.120199
2011-01-10,39.73,39.742,39.633,32.849998,17400,27.153254
2011-01-11,39.766,39.766,39.633,32.82,20100,27.128464
2011-01-12,39.645,39.694,39.464,32.790001,28000,27.103666
2011-01-13,39.56,39.79,39.56,32.889999,45400,27.186323
2011-01-14,39.802,39.827,39.633,32.790001,56200,27.103666
2011-01-18,39.718,39.73,39.573,32.84,36300,27.144995
2011-01-19,39.706,39.766,39.681,32.869999,35200,27.169783
2011-01-20,39.669,39.681,39.536,32.75,31000,27.070599
2011-01-21,39.621,39.706,39.548,32.759998,62600,27.078865
2011-01-24,39.681,39.754,39.657,32.830002,63500,27.136719
2011-01-25,39.73,39.815,39.633,32.889999,39500,27.186323
2011-01-26,39.742,39.778,39.657,32.810001,60500,27.120199
2011-01-27,39.742,39.766,39.597,32.860001,8600,27.161526
2011-01-28,39.73,39.851,39.694,32.919998,33700,27.211117
2011-01-31,39.778,39.875,39.73,32.91,23200,27.20285
2011-02-01,39.538,39.586,39.466,32.77,21500,27.160585
2011-02-02,39.55,39.55,39.381,32.709999,43100,27.110851
2011-02-03,39.297,39.393,39.285,32.630001,24500,27.044544
2011-02-04,39.333,39.333,39.176,32.549999,52300,26.978247
2011-02-07,39.14,39.236,39.007,32.419998,666100,26.870481
2011-02-08,39.079,39.212,38.983,32.380001,24300,26.837347
2011-02-09,38.947,39.236,38.947,32.52,22500,26.953371
2011-02-10,39.14,39.212,39.067,32.43,30800,26.87878
2011-02-11,39.297,39.502,39.14,32.549999,96100,26.978247
2011-02-14,39.116,39.285,39.116,32.529999,34100,26.961668
2011-02-15,39.128,39.297,39.128,32.560001,35200,26.986534
2011-02-16,39.152,39.333,39.152,32.580002,41100,27.003098
2011-02-17,39.309,39.405,39.309,32.639999,18800,27.052826
2011-02-18,39.309,39.405,39.285,32.66,14500,27.06941
2011-02-22,39.453,39.574,39.453,32.779999,33000,27.168865
2011-02-23,39.538,39.598,39.466,32.73,19900,27.127428
2011-02-24,39.502,39.55,39.478,32.73,24600,27.127428
2011-02-25,39.526,39.647,39.514,32.860001,22800,27.23517
2011-02-28,39.683,39.743,39.647,32.919998,28600,27.284903
2011-03-01,39.361,39.518,39.229,32.849998,35800,27.307337
2011-03-02,39.482,39.482,39.313,32.75,77900,27.224218
2011-03-03,39.337,39.337,39.217,32.639999,17200,27.132784
2011-03-04,39.313,39.421,39.313,32.77,20800,27.240852
2011-03-07,39.361,39.433,39.313,32.75,21800,27.224218
2011-03-08,39.373,39.397,39.337,32.73,17200,27.207594
2011-03-09,39.397,39.482,39.373,32.759998,76200,27.23254
2011-03-10,39.53,39.59,39.421,32.889999,44100,27.340595
2011-03-11,39.626,39.626,39.494,32.919998,32700,27.365541
2011-03-14,39.674,39.698,39.554,32.959999,28500,27.398787
2011-03-15,39.65,39.65,39.433,32.779999,40300,27.249157
2011-03-16,39.602,39.734,39.566,32.900002,24200,27.348902
2011-03-17,39.518,39.746,39.482,32.959999,19800,27.398787
2011-03-18,39.566,39.686,39.53,32.93,85800,27.373852
2011-03-21,39.65,39.65,39.409,32.91,57100,27.357218
2011-03-22,39.494,39.59,39.47,32.91,24800,27.357218
2011-03-23,39.542,39.626,39.494,32.880001,16900,27.332289
2011-03-24,39.482,39.518,39.445,32.82,20900,27.282408
2011-03-25,39.506,39.506,39.373,32.759998,19300,27.23254
2011-03-28,39.373,39.433,39.337,32.759998,28300,27.23254
2011-03-29,39.385,39.433,39.289,32.709999,29100,27.190968
2011-03-30,39.337,39.47,39.337,32.810001,22200,27.274097
2011-03-31,39.458,39.47,39.301,32.700001,25400,27.182657
2011-04-01,39.08,39.284,39.08,32.740002,33000,27.294373
2011-04-04,39.248,39.332,39.224,32.790001,57900,27.336046
2011-04-05,39.272,39.32,39.188,32.720001,18200,27.277704
2011-04-06,39.2,39.26,39.128,32.669998,27800,27.236015
2011-04-07,39.248,39.248,39.08,32.599998,40600,27.177654
